 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
1,CAL BLANK,R,5/15/2023 15:55,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CAL BLANK.003,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
2,LOW 0.01,R,5/15/2023 16:01,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.01.004,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,132.655,65.679,-0.086,-0.337,592.534,125.104,157.609,0.09,0.01,0.01,-0.059,0.01,-0.101,0.01,0.01,-0.09,-0.092,-0.093,-0.024,0.01,0.336,0.01,0.009,0.01,0.01,0.01,0.01,0.01,,,0.009,0.013,101.60%,97.00%,107.40%,99.00%,96.00%,105.60%,99.30%,0.01,0.01,,0.01,0.01
3,LOW 0.1,R,5/15/2023 16:07,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.1.005,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,220.064,155.223,2.662,1.096,703.833,218.394,233.097,0.177,0.092,0.105,0.098,0.1,0.098,0.116,0.106,0.1,0.099,0.099,0.103,0.106,0.429,0.108,0.193,0.079,0.086,0.102,0.077,0.129,,,0.101,0.1,98.30%,95.00%,98.10%,98.40%,95.80%,88.10%,94.50%,0.1,0.107,,0.128,0.126
4,LOW 0.5,R,5/15/2023 16:13,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.5.006,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,578.673,520.673,2.963,1.95,1171.427,570.812,596.803,0.524,0.484,0.466,0.584,0.483,0.615,0.479,0.468,0.542,0.552,0.508,0.443,0.491,0.799,0.485,0.422,0.464,0.525,0.457,0.464,0.437,,,0.474,0.487,96.10%,93.60%,96.80%,99.80%,101.30%,93.40%,89.70%,0.484,0.484,,0.533,0.493
5,STD 1,R,5/15/2023 16:19,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 1.007,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1005.014,1007.747,0.948,0.715,1309.683,1006.869,1010.374,0.913,0.899,0.989,0.875,0.998,0.778,0.852,0.851,0.847,0.916,1.059,0.894,0.783,1.216,0.96,0.781,0.962,0.937,0.994,0.958,0.856,,,0.982,0.999,103.90%,93.10%,104.40%,100.30%,99.10%,91.70%,93.80%,1.01,0.991,,0.983,1.031
6,STD 5,R,5/15/2023 16:24,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 5.008,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,4725.432,4585.687,6.353,4.56,4875.976,4828.596,4725.166,4.55,4.67,4.971,5.046,5.214,4.677,4.587,4.683,4.634,5.013,4.774,4.664,4.892,5.204,5.146,4.302,5.389,5.276,5.161,5.06,5.107,,,5.079,5.215,98.20%,88.00%,98.10%,94.60%,95.80%,94.10%,87.00%,5.121,5.02,,5.115,4.911
7,Calibration Curves,R,5/15/2023 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,STD 10,R,5/15/2023 18:22,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 10.028,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10320.373,10469.004,10.798,9.162,10566.299,9560.741,9570.643,10.162,10.229,9.623,9.413,9.62,9.832,10.178,10.504,9.937,9.879,9.189,9.787,10.025,9.161,9.617,8.994,9.697,9.61,9.775,10.733,9.666,,,10.001,9.788,97.70%,88.20%,96.80%,89.00%,87.70%,89.90%,89.80%,9.917,9.849,,9.437,8.949
9,STD 12.5,R,5/15/2023 16:36,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 12.5.010,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,12965.309,13222.211,11.377,16.277,12604.434,13000.112,13076.868,13.119,13.433,12.418,12.411,12.523,13.278,12.94,13.344,13.348,12.379,12.304,12.226,14.199,12.391,12.379,10.853,12.784,12.43,12.806,13.869,12.308,,,12.624,12.373,97.50%,91.30%,86.80%,94.00%,89.70%,83.40%,87.50%,12.394,12.426,,12.252,12.592
10,Calibration Curves,R,5/15/2023 16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
