 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
1,sac blank ,,06/16/2023 11:58:56,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\sac blank .650,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sac blank cal,,06/16/2023 12:04:57,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\sac blank cal.651,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sac blank cal,,06/16/2023 12:10:57,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\sac blank cal.652,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CAL BLANK,,06/16/2023 12:16:57,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CAL BLANK.653,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,
5,LOW 0.01,,06/16/2023 12:22:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.01.654,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4%,100.2%,100.2%,99.9%,98.2%,101.8%,,,,
6,LOW 0.05,,06/16/2023 12:28:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.05.655,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,0.050,0.050,0.050,,,,0.050,0.050,0.050,0.050,,,0.050,0.050,,,,,,,,,99.3%,98.3%,99.0%,99.0%,95.4%,99.2%,0.050,0.050,0.050,0.050
7,LOW 0.1,,06/16/2023 12:34:59,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.1.656,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,0.091,0.102,0.098,,0.100,,0.099,0.100,0.103,0.103,,0.100,0.113,0.097,,0.100,0.100,0.100,0.100,0.100,0.100,0.100,98.4%,98.0%,100.3%,100.0%,96.3%,99.1%,0.099,0.096,0.103,0.102
8,LOW 0.5,,06/16/2023 12:40:59,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LOW 0.5.657,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,0.500,,,,0.479,0.545,0.518,,0.498,,0.519,0.499,0.561,0.570,0.500,0.623,0.566,0.498,0.500,0.556,0.524,0.515,0.551,0.552,0.519,0.506,96.4%,95.8%,96.6%,97.8%,93.9%,98.6%,0.505,0.499,0.536,0.531
9,STD 1,,06/16/2023 12:46:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 1.658,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1000.000,1000.000,1.000,0.523,,1000.000,1000.000,0.968,1.072,1.000,1.000,0.993,1.000,1.012,0.974,1.038,1.039,0.892,1.061,1.002,0.983,1.063,0.991,1.041,1.016,1.000,1.000,1.005,1.005,95.2%,95.5%,95.9%,96.4%,94.2%,98.3%,0.978,0.980,1.024,1.042
10,STD 5,,06/16/2023 12:52:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 5.659,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,5021.230,5049.125,5.627,2.992,5000.000,4966.684,5131.888,5.014,5.378,4.923,4.671,5.039,4.702,5.145,4.895,5.180,5.030,4.595,5.548,5.163,4.987,5.024,5.147,5.210,4.980,5.380,5.329,5.030,4.987,93.9%,90.9%,92.4%,92.7%,91.4%,92.3%,4.954,4.937,4.965,5.103
