,SAMPLING_DATE,SITE,SAMPLE_DESCRIPTOR,FIELD.REP,Al,Al_r,As,B,B_r,Ba,Be,Ca_r,Cd,Co,Cr,Cu,Fe,Fe_r238,Fe_r234,K_r,Li_r,Mg_r,Mn,Mn_r,Mo,Na_r,Ni,P,Pb,S181,S_r,S180,Sb,Se,Si,Si_r251,Si_r212,Sn,Sr_r,Ti,Tl,Zn,Zn_r
13,22-Jun-21,WS,EPIL,1,214.822695,228.6879433,0.567375887,135.177305,145.5673759,149.3262411,0.010138298,338.0496454,0.027351064,0.139680851,0.225921986,4.007092199,106.3475177,120.7801418,121.2765957,148.4042553,0.178262411,63.26241135,55.60283688,64.5035461,0.030255319,352.8014184,0.215921986,14.90780142,0.460638298,18.08156028,19.15602837,25.23404255,0.021978723,-0.035567376,36.34751773,38.5106383,39.14893617,-0.116560284,2.874468085,5.106382979,-0.343865248,131.0283688,150.8156028
144,3-Aug-21,GC,EPIL,5,43.3,51.5,0.105,35.05,42.25,43.2,-0.31,322.5,0.0125,0.075,0.0575,2.0225,45.1,49.775,49.775,50.025,0.0575,17.4075,20.7975,23.6425,0.0075,102.8,0.03,4.8575,0.2875,10.415,12.7175,11.3725,-0.0025,0.0275,8.65,9.7575,9.86,0.0125,1.11,1.7925,-0.0425,39.025,43.575
102,7-Jul-21,BG,EPIL,4,81.0787172,89.24198251,0.174927114,39.54810496,44.35860058,47.24489796,0.004629738,173.6151603,0.015495627,0.04606414,0.083309038,1.934402332,61.31195335,69.3877551,70.97667638,53.71720117,0.069081633,26.5451895,10.06268222,11.28862974,-0.001559767,110.9620991,0.06664723,4.306122449,0.306122449,8.651603499,9.567055394,12.08309038,0.00848688,-0.024227405,11.0058309,12.47521866,12.6574344,-0.054154519,1.120845481,2.470845481,-0.061428571,44.16909621,50.11661808
182,17-Aug-21,GC,EPIP,6,97.45867769,116.0743802,0.059917355,56.67355372,66.40495868,69.58677686,-0.320247934,339.0495868,0.010330579,0.095041322,0.088842975,1.896694215,64.58677686,74.66942149,74.7107438,72.12809917,0.095041322,31.61157025,13.95041322,15.84504132,0.008264463,147.0041322,0.049586777,5.904958678,0.27892562,13.80578512,16.20661157,13.94628099,-0.004132231,0,15.71280992,17.72107438,18.2107438,0.012396694,1.803719008,2.814049587,-0.024793388,56.32231405,65.97107438
158,3-Aug-21,DL,EPIL,4,49.89655172,61.24137931,0.072413793,49.34482759,58.82758621,62.37931034,-0.396551724,411.7241379,0.010344828,0.089655172,0.062068966,1.855172414,44.17241379,48.55172414,48.4137931,64.13793103,0.05862069,20.63448276,16.07586207,17.77931034,0.010344828,143.3793103,0.031034483,5.275862069,0.227586207,10.44827586,12.83793103,11.3,0.003448276,0.031034483,9.427586207,11.01034483,11.0862069,0.013793103,1.668965517,1.793103448,-0.055172414,53.48275862,61.48275862
191,17-Aug-21,DL,EPIL,1,104.3706294,123.951049,-0.034965035,113.2867133,135.9090909,138.3216783,-0.34965035,360.1398601,0.003496503,0.143356643,0.083916084,1.458041958,28.50699301,31.52797203,31.37412587,118.8461538,0.06993007,18.3951049,13.05944056,14.45104895,0.013986014,291.6433566,0.034965035,3.881118881,0.160839161,11.82867133,14.03846154,12.03846154,0.003496503,0.006993007,16.7027972,19.01048951,19.28671329,0.003496503,2.695804196,1.255244755,-0.031468531,109.3706294,130.7692308
20,22-Jun-21,GR,EPIL,4,65.34663866,73.45588235,0.172268908,42.41596639,46.20798319,45.0105042,0.002105042,301.8907563,0.014653361,0.038991597,0.06289916,1.410714286,35.18907563,40.32563025,40.53571429,48.85504202,0.039779412,16.74369748,10.56722689,11.99579832,0.003235294,111.2394958,0.046533613,5.671218487,0.20987395,9.069327731,9.857142857,15.52521008,0.004505252,-0.010334034,12.13235294,13.06722689,13.19327731,-0.042205882,1.183823529,1.589285714,-0.062836134,40.11554622,45.53571429
52,7-Jul-21,BN,EPIP,2,67.16080402,74.44723618,0.123115578,37.24874372,41.70854271,44.72361809,0.003664573,118.2035176,0.009057789,0.041545226,0.064560302,1.277638191,47.97738693,54.93718593,55.02512563,47.44974874,0.052713568,21.57035176,8.938442211,9.968592965,-0.001821608,99.78643216,0.050603015,4.788944724,0.225,5.457286432,6.162060302,7.816582915,0.009085427,-0.021268844,7.286432161,8.094221106,8.15201005,-0.045175879,1.041457286,1.815326633,-0.052361809,39.92462312,46.04271357
101,7-Jul-21,BG,EPIL,3,53.1595092,56.8404908,0.084355828,38.45092025,42.65337423,48.19018405,0.00282362,91.48773006,0.008253067,0.032208589,0.058358896,0.985276074,34.50920245,37.48466258,37.33128834,46.34969325,0.039631902,15.6595092,4.141104294,4.472392638,-0.000492331,107.1779141,0.043742331,2.40797546,0.159969325,3.92791411,4.314417178,5.837423313,0.008843558,-0.027361963,8.786809816,10.0291411,10.12576687,-0.050766871,0.879294479,1.473773006,-0.026257669,43.6809816,48.29754601
159,3-Aug-21,DL,EPIL,5,18.48885794,22.74373259,0.051532033,8.182451253,9.540389972,9.623955432,-0.593314763,607.5208914,0.012534819,0.027158774,0.026462396,0.961699164,20.99582173,24.53342618,24.50557103,15.31337047,0.039693593,13.52367688,15.20194986,19.74930362,0.008356546,25.96796657,0.022284123,4.531337047,0.116991643,9.735376045,11.81058496,10.86350975,0.002785515,0.022980501,2.183147632,2.580779944,2.546657382,0.032729805,1.177576602,0.862116992,-0.03551532,9.359331476,10.69637883
16,22-Jun-21,WS,EPIL,4,24.31666667,26.33888889,0.106111111,0.256888889,0.306555556,0.740555556,0.002261667,80.88888889,0.004267778,0.01505,0.03345,0.833333333,24.51666667,26.18333333,28.00555556,6.222222222,0.040811111,21.88888889,6.572222222,7.333333333,0.006988889,8.755555556,0.033738889,2.403888889,0.110944444,3.596666667,3.728333333,5.448888889,8.72222E-05,-0.004952778,4.545555556,4.768888889,4.887222222,-0.020633333,0.144,1.238333333,-0.044294444,0.972222222,1.023888889
15,22-Jun-21,WS,EPIL,3,50.82608696,53.75652174,0.119130435,35.17391304,37.50434783,37.44347826,0.002186957,84.73913043,0.004221739,0.029417391,0.049965217,0.810782609,22.63478261,25.82608696,25.92173913,37.10434783,0.045252174,15.54782609,9.339130435,10.53913043,0.00367913,90.7826087,0.045026087,2.466086957,0.098086957,3.92173913,4.062608696,5.746086957,0.002295652,-0.008991304,9.017391304,9.556521739,9.695652174,-0.029452174,0.723478261,1.106956522,-0.059165217,32.55652174,37.57391304
140,3-Aug-21,GC,EPIL,1,17.92936803,22.34572491,0.048327138,9.334572491,11.09665428,11.13754647,-0.101858736,106.7286245,0.003345725,0.018959108,0.018959108,0.733828996,15.28624535,17.53903346,18.18959108,13.32713755,0.021189591,6.260223048,4.356877323,5.137546468,0.002973978,25.23791822,0.011524164,1.245724907,0.130111524,3.205947955,3.828996283,3.472490706,-0.001858736,0.005947955,1.869516729,2.125650558,2.143866171,0.005947955,0.341263941,0.678810409,-0.008921933,9.464684015,10.96282528
81,7-Jul-21,DL,EPIL,2,29.34027778,31.50462963,0.06712963,30.9375,34.75694444,38.20601852,0.000979167,86.05324074,0.004653935,0.019618056,0.03212963,0.656712963,12.63888889,13.61111111,13.56481481,34.81481481,0.01630787,6.344907407,5.759259259,6.248842593,0.00255787,86.37731481,0.023159722,1.287037037,0.078865741,2.746527778,2.940972222,4.400462963,0.009284722,-0.019375,4.618055556,5.196759259,5.288194444,-0.041331019,0.663194444,0.511805556,-0.028784722,34.3287037,37.34953704
80,7-Jul-21,DL,EPIL,1,34.61126005,37.27882038,0.063002681,37.27882038,42.15817694,46.15281501,0.001265416,69.15549598,0.004613941,0.021863271,0.037479893,0.637935657,13.36997319,14.49061662,14.42359249,41.20643432,0.0180563,6.914209115,5.08847185,5.526809651,0.001349866,103.8873995,0.026340483,1.580428954,0.093042895,2.81233244,3.123324397,4.136729223,0.009016086,-0.016300268,5.27077748,5.926273458,6.030831099,-0.042841823,0.737131367,0.517962466,-0.026729223,41.05898123,45.25469169
19,22-Jun-21,GR,EPIL,3,50.70484581,53.4030837,0.071585903,43.32599119,46.49779736,47.88546256,0.001137665,62.67621145,0.004243392,0.028579295,0.047389868,0.615748899,19.11894273,20.99118943,20.99118943,45.2753304,0.023226872,9.501101322,3.716960352,3.976872247,0.000593612,112.9955947,0.032687225,2.783039648,0.096277533,3.247797357,3.511013216,4.733480176,0.005505507,-0.022367841,9.001101322,9.509911894,9.578193833,-0.034240088,0.825330396,0.718832599,-0.020484581,42.42290749,47.9185022
145,3-Aug-21,GR,EPIL,1,21.87664042,27.38845144,-0.010498688,19.06824147,22.67716535,23.37270341,-0.564304462,576.9028871,0.00656168,0.036745407,0.024934383,0.61023622,20.20997375,22.67716535,22.51968504,27.79527559,0.040682415,13.43832021,8.204724409,9.44488189,0.007874016,56.57480315,0.015748031,3.946194226,0.104986877,7.565616798,9.097112861,8.258530184,0.002624672,0.023622047,3.895013123,4.590551181,4.620734908,0.031496063,1.346456693,0.725721785,-0.024934383,20.62992126,23.1496063
66,7-Jul-21,GC,EPIP,4,42.78571429,46.9,0.06,41.17142857,46.15714286,51.5,0.001531429,46.45714286,0.003408571,0.026814286,0.037185714,0.609714286,19.2,20.55714286,20.48571429,45.45714286,0.022357143,8.708571429,5.024285714,5.372857143,-0.000912857,108.0714286,0.026742857,1.91,0.089814286,2.487142857,2.81,3.477142857,0.008108571,-0.0239,6.391428571,7.127142857,7.22,-0.040671429,0.924714286,0.693142857,-0.031614286,45.08571429,48.95714286
