"","Sample.Id","Na","Mg","Al","P","S","K","Ca","V","Cr_KED","Cr_NH3","Fe_NH3","Mn","Fe_KED","Co","Ni","Cu_KED","Cu_NH3","Zn","As_STD","As_KED","As_Oshift","Se..77..77.77..ppb.","Se77_Oshift","Se78_Oshift","Se80_Oshift","Se..82..82.82..ppb.","Se82_Oshift","Mo_NH3","Mo_Oshift","Cd111","Cd114","Pb_STD","Pb_NH3"
"59","DBLANK",128.759,59.052,0.399,5.535,1045.22,128.307,150.606,0.083,0.001,0.002,-0.08,0.001,0.026,0.001,0.004,0.988,1.031,-0.059,0.002,0.01,0.003,0.006,-0.019,-0.006,-0.007,-0.054,-0.005,-0.001,0.004,0,0,0.065,0.073
"65","DBLANK",127.388,59.09,0.69,5.644,1058.544,130.092,146.498,0.082,-0.001,0.005,-0.074,0.001,0.061,0.001,0.005,1.013,1.026,-0.059,-0.053,0.023,0.002,0.163,-0.019,-0.003,-0.004,0.01,0.003,0,0.005,0,0,0.069,0.073
"119","DBLANK",126.33,58.09,0.449,9.221,840.8,129.932,146.48,0.083,0.012,0.012,-0.053,0.003,0.012,0,0.013,0.056,0.071,-0.169,-0.028,0.01,0.003,0.172,-0.018,0.001,-0.003,0.039,0.003,-0.001,0.004,0,0.001,0.012,0.013
"120","DBLANK",127.068,61.029,0.471,9.658,933.472,135.859,146.355,0.081,0.013,0.011,0.415,0.001,0.518,0,0.002,0.087,0.086,-0.164,-0.035,0.024,0.003,0.11,-0.024,-0.007,-0.006,0.005,-0.001,-0.001,0.004,0,0.001,0.012,0.013
"761","5_10_23_DB",-11.218,-42.741,-0.323,2.574,426.427,1.234,-30.744,0.003,0.022,0.014,-0.342,-0.023,-0.41,0.002,0.007,0.035,0.031,-0.165,0.038,0,0,0.236,-0.017,0.001,0.001,0.005,0.01,-0.012,-0.013,0,-0.001,0.001,0.001
"791","5_10_23_DB",-9.933,-42.741,-0.244,3.028,465.085,2.75,-23.636,0.005,0.005,0.002,-0.445,-0.025,-0.497,0.002,0.006,0.017,0.017,-0.171,0.106,0.006,-0.001,0.056,-0.022,0,0.003,-0.019,0.002,-0.011,-0.013,0,-0.001,-0.001,0
"1242","5_10_23_DB",-13.849,-42.741,-0.38,2.629,297.698,-0.525,-30.744,0.003,0.006,0.005,-0.418,-0.024,-0.508,0.002,0.006,0.013,0.017,-0.171,0.022,0,-0.004,0.229,-0.017,0,-0.001,-0.175,0.006,-0.012,-0.013,0,-0.001,0,0
"1272","5_10_23_DB",-10.824,-41.665,-0.118,3.522,477.37,7.596,-25.911,0.005,0.018,0.018,-0.268,-0.024,-0.273,0.002,-0.003,0.026,0.031,-0.17,0.024,-0.006,-0.001,0.25,-0.017,-0.002,-0.001,-0.059,0.006,-0.01,-0.013,0,-0.001,0,0.001
"482","5_18_23_DB",69.227,12.522,-0.272,4.191,484.161,72.915,59.301,0.014,0.011,0.018,-0.314,0.017,-0.025,0.007,0.011,0.074,0.074,-0.111,0.014,0.012,0.015,0.069,0.052,0.016,0.012,0.004,0,0.006,0.014,0.015,0.011,0.024,0.03
"2101","5_18_23_DB",54.791,0.236,-0.583,2.799,400.832,54.871,42.892,-0.001,-0.007,-0.001,-0.518,0.001,-0.334,-0.007,-0.005,0.078,0.083,-0.141,-0.03,-0.011,-0.002,-0.006,0.006,-0.001,-0.01,-0.046,-0.021,-0.009,0.001,0.001,-0.003,0.018,0.023
"2112","5_18_23_DB",54.514,0.236,-0.592,3.978,284.214,60.618,42.947,0,-0.004,-0.001,-0.509,0,-0.419,-0.007,-0.002,0.088,0.082,-0.143,0.025,-0.007,-0.002,0.048,0.006,0.002,-0.011,-0.054,-0.008,-0.009,0.001,0.001,-0.002,0.018,0.023
"2201","5_18_23_DB",56.087,0.236,-0.344,3.03,483.68,56.547,42.803,0,0,0.007,1.103,0.008,1.24,-0.006,-0.004,0.082,0.075,-0.139,-0.01,-0.007,-0.002,0.13,0.006,0.01,-0.007,-0.005,-0.001,0.003,0.004,0.001,-0.002,0.018,0.021
"2212","5_18_23_DB",55.564,0.879,-0.459,4.255,414.761,59.288,40.926,0,0.001,0.004,1.092,0.008,1.195,-0.007,-0.005,0.082,0.08,-0.143,-0.033,-0.002,-0.001,0.085,0.013,0.002,-0.011,-0.064,-0.008,-0.001,0.002,0.001,-0.003,0.016,0.023
"2221","5_18_23_DB",55.029,0.236,-0.415,4.456,526.072,63.435,46.485,0,0.007,0.013,-0.381,0.003,-0.107,0.068,0.006,0.09,0.088,-0.094,-0.091,-0.002,-0.001,0.433,0.006,0.005,-0.008,0.013,-0.015,-0.004,0.002,0.001,-0.002,0.026,0.025
"2231","5_18_23_DB",55.599,0.236,-0.542,4.249,541.815,54.198,41.903,0,0.004,0.009,-0.356,0.003,-0.108,0.063,-0.006,0.086,0.091,-0.103,0.008,-0.011,-0.002,0.185,0.038,0.002,-0.007,-0.023,-0.021,-0.005,0.003,0.001,-0.003,0.021,0.02
"2241","5_18_23_DB",56.458,0.236,-0.495,4.087,584.687,57.12,41.914,0,-0.002,0.002,-0.463,0.006,-0.107,-0.007,0.001,0.066,0.061,-0.094,0.005,-0.011,-0.003,0.039,0.006,-0.001,-0.006,-0.035,-0.021,-0.005,0.002,0.001,-0.002,0.01,0.015
