"","Sample.Id","Element","conc","Concentration"
"1","6_21_21_UF_1","Na",4069.471,8221.15353535354
"2","6_21_21_UF_1","Mg",2878.812,5815.78181818182
"3","6_21_21_UF_1","Al",2.342,4.73131313131313
"4","6_21_21_UF_1","P",25.876,52.2747474747475
"5","6_21_21_UF_1","S",7384.083,14917.3393939394
"6","6_21_21_UF_1","K",903.516,1825.28484848485
"7","6_21_21_UF_1","Ca",15602.527,31520.2565656566
"8","6_21_21_UF_1","V",0.294,0.593939393939394
"9","6_21_21_UF_1","Cr_KED",0.049,0.098989898989899
"10","6_21_21_UF_1","Cr_NH3",0.066,0.133333333333333
"11","6_21_21_UF_1","Fe_NH3",0.83,1.67676767676768
"12","6_21_21_UF_1","Mn",33.391,67.4565656565657
"13","6_21_21_UF_1","Fe_KED",0.352047383460437,0.71120683527361
"14","6_21_21_UF_1","Co",0.02,0.0404040404040404
"15","6_21_21_UF_1","Ni",0.155,0.313131313131313
"16","6_21_21_UF_1","Cu_KED",1.011,2.04242424242424
"17","6_21_21_UF_1","Cu_NH3",1.628,3.28888888888889
"18","6_21_21_UF_1","Zn",0.675,1.36363636363636
"19","6_21_21_UF_1","As_STD",5.569,11.2505050505051
"20","6_21_21_UF_1","As_KED",3.422,6.91313131313131
"21","6_21_21_UF_1","As_Oshift",5.41,10.9292929292929
"22","6_21_21_UF_1","Se..77..77.77..ppb.",0.318,0.642424242424242
"23","6_21_21_UF_1","Se77_Oshift",0.0226125188303962,0.0456818562230227
"24","6_21_21_UF_1","Se78_Oshift",0.022,0.0444444444444444
"25","6_21_21_UF_1","Se80_Oshift",0.052,0.105050505050505
"26","6_21_21_UF_1","Se..82..82.82..ppb.",0.221,0.446464646464647
"27","6_21_21_UF_1","Se82_Oshift",0.042,0.0848484848484849
"28","6_21_21_UF_1","Mo_NH3",8.698,17.5717171717172
"29","6_21_21_UF_1","Mo_Oshift",8.459,17.0888888888889
"30","6_21_21_UF_1","Cd111",0.007,0.0141414141414141
"31","6_21_21_UF_1","Cd114",0.009,0.0181818181818182
"32","6_21_21_UF_1","Pb_STD",0.079,0.15959595959596
"33","6_21_21_UF_1","Pb_NH3",0.081,0.163636363636364
"34","6_21_21_UF_6","Na",7174.797,14494.5393939394
"35","6_21_21_UF_6","Mg",5013.61,10128.5050505051
"36","6_21_21_UF_6","Al",1.695,3.42424242424242
"37","6_21_21_UF_6","P",15.562,31.4383838383838
"38","6_21_21_UF_6","S",11119.236,22463.103030303
"39","6_21_21_UF_6","K",1446.337,2921.89292929293
"40","6_21_21_UF_6","Ca",24739.842,49979.4787878788
"41","6_21_21_UF_6","V",0.668,1.34949494949495
"42","6_21_21_UF_6","Cr_KED",0.05,0.101010101010101
"43","6_21_21_UF_6","Cr_NH3",0.055,0.111111111111111
"44","6_21_21_UF_6","Fe_NH3",0.325465307161978,0.657505671034299
"45","6_21_21_UF_6","Mn",13.443,27.1575757575758
"46","6_21_21_UF_6","Fe_KED",0.711,1.43636363636364
"47","6_21_21_UF_6","Co",0.023,0.0464646464646465
"48","6_21_21_UF_6","Ni",0.203,0.41010101010101
"49","6_21_21_UF_6","Cu_KED",2.322,4.69090909090909
"50","6_21_21_UF_6","Cu_NH3",2.412,4.87272727272727
"51","6_21_21_UF_6","Zn",0.704,1.42222222222222
"52","6_21_21_UF_6","As_STD",5.389,10.8868686868687
"53","6_21_21_UF_6","As_KED",4.677,9.44848484848485
"54","6_21_21_UF_6","As_Oshift",5.666,11.4464646464646
"55","6_21_21_UF_6","Se..77..77.77..ppb.",0.367,0.741414141414141
"56","6_21_21_UF_6","Se77_Oshift",0.0226125188303962,0.0456818562230227
"57","6_21_21_UF_6","Se78_Oshift",0.057,0.115151515151515
"58","6_21_21_UF_6","Se80_Oshift",0.061,0.123232323232323
"59","6_21_21_UF_6","Se..82..82.82..ppb.",0.283,0.571717171717172
"60","6_21_21_UF_6","Se82_Oshift",0.066,0.133333333333333
"61","6_21_21_UF_6","Mo_NH3",6.161,12.4464646464646
"62","6_21_21_UF_6","Mo_Oshift",6.195,12.5151515151515
"63","6_21_21_UF_6","Cd111",0.011,0.0222222222222222
"64","6_21_21_UF_6","Cd114",0.013,0.0262626262626263
"65","6_21_21_UF_6","Pb_STD",0.073,0.147474747474747
"66","6_21_21_UF_6","Pb_NH3",0.073,0.147474747474747
"67","6_21_21_UF_8","Na",8817.005,17812.1313131313
"68","6_21_21_UF_8","Mg",6114.4,12352.3232323232
"69","6_21_21_UF_8","Al",1.496,3.02222222222222
"70","6_21_21_UF_8","P",18.966,38.3151515151515
"71","6_21_21_UF_8","S",11074.074,22371.8666666667
"72","6_21_21_UF_8","K",1606.265,3244.9797979798
"73","6_21_21_UF_8","Ca",27758.689,56078.1595959596
"74","6_21_21_UF_8","V",0.989,1.9979797979798
"75","6_21_21_UF_8","Cr_KED",0.052,0.105050505050505
"76","6_21_21_UF_8","Cr_NH3",0.046,0.0929292929292929
"77","6_21_21_UF_8","Fe_NH3",0.325465307161978,0.657505671034299
"78","6_21_21_UF_8","Mn",15.712,31.7414141414141
"79","6_21_21_UF_8","Fe_KED",0.815,1.64646464646465
"80","6_21_21_UF_8","Co",0.022,0.0444444444444444
