Sample.Id,Element,Concentration
6_21_21_UF_1,Na,8221.153535
6_21_21_UF_1,Mg,5815.781818
6_21_21_UF_1,Al,4.731313131
6_21_21_UF_1,P,52.27474747
6_21_21_UF_1,S,14917.33939
6_21_21_UF_1,K,1825.284848
6_21_21_UF_1,Ca,31520.25657
6_21_21_UF_1,V,0.593939394
6_21_21_UF_1,Cr_KED,0.098989899
6_21_21_UF_1,Cr_NH3,0.133333333
6_21_21_UF_1,Fe_NH3,1.218874063
6_21_21_UF_1,Mn,67.45656566
6_21_21_UF_1,Fe_KED,1.364188275
6_21_21_UF_1,Co,0.065677402
6_21_21_UF_1,Ni,0.313131313
6_21_21_UF_1,Cu_KED,2.042424242
6_21_21_UF_1,Cu_NH3,3.288888889
6_21_21_UF_1,Zn,1.363636364
6_21_21_UF_1,As_STD,11.25050505
6_21_21_UF_1,As_KED,6.913131313
6_21_21_UF_1,As_Oshift,10.92929293
6_21_21_UF_1,Se..77..77.77..ppb.,0.433699895
6_21_21_UF_1,Se77_Oshift,0.055646451
6_21_21_UF_1,Se78_Oshift,0.044444444
6_21_21_UF_1,Se80_Oshift,0.105050505
6_21_21_UF_1,Se..82..82.82..ppb.,0.446464646
6_21_21_UF_1,Se82_Oshift,0.084848485
6_21_21_UF_1,Mo_NH3,17.57171717
6_21_21_UF_1,Mo_Oshift,17.08888889
6_21_21_UF_1,Cd111,0.010636193
6_21_21_UF_1,Cd114,0.018181818
6_21_21_UF_1,Pb_STD,0.15959596
6_21_21_UF_1,Pb_NH3,0.163636364
6_21_21_UF_6,Na,14494.53939
6_21_21_UF_6,Mg,10128.50505
6_21_21_UF_6,Al,3.424242424
6_21_21_UF_6,P,31.43838384
6_21_21_UF_6,S,22463.10303
6_21_21_UF_6,K,2921.892929
6_21_21_UF_6,Ca,49979.47879
6_21_21_UF_6,V,1.349494949
6_21_21_UF_6,Cr_KED,0.101010101
6_21_21_UF_6,Cr_NH3,0.111111111
6_21_21_UF_6,Fe_NH3,1.218874063
6_21_21_UF_6,Mn,27.15757576
6_21_21_UF_6,Fe_KED,1.364188275
6_21_21_UF_6,Co,0.065677402
6_21_21_UF_6,Ni,0.41010101
6_21_21_UF_6,Cu_KED,4.690909091
6_21_21_UF_6,Cu_NH3,4.872727273
6_21_21_UF_6,Zn,1.422222222
6_21_21_UF_6,As_STD,10.88686869
6_21_21_UF_6,As_KED,9.448484848
6_21_21_UF_6,As_Oshift,11.44646465
6_21_21_UF_6,Se..77..77.77..ppb.,0.433699895
6_21_21_UF_6,Se77_Oshift,0.055646451
6_21_21_UF_6,Se78_Oshift,0.115151515
6_21_21_UF_6,Se80_Oshift,0.123232323
6_21_21_UF_6,Se..82..82.82..ppb.,0.571717172
6_21_21_UF_6,Se82_Oshift,0.133333333
6_21_21_UF_6,Mo_NH3,12.44646465
6_21_21_UF_6,Mo_Oshift,12.51515152
6_21_21_UF_6,Cd111,0.022222222
6_21_21_UF_6,Cd114,0.026262626
6_21_21_UF_6,Pb_STD,0.147474747
6_21_21_UF_6,Pb_NH3,0.078026292
6_21_21_UF_8,Na,17812.13131
6_21_21_UF_8,Mg,12352.32323
6_21_21_UF_8,Al,3.022222222
6_21_21_UF_8,P,38.31515152
