,DAY,MONTH,YEAR,DATE,FRACTION,SITE,Element,Concentration
1,6,21,2021,6/21/2021,UF,1,Na,8221.153535
2,6,21,2021,6/21/2021,UF,1,Mg,5815.781818
3,6,21,2021,6/21/2021,UF,1,Al,4.731313131
4,6,21,2021,6/21/2021,UF,1,P,52.27474747
5,6,21,2021,6/21/2021,UF,1,S,14917.33939
6,6,21,2021,6/21/2021,UF,1,K,1825.284848
7,6,21,2021,6/21/2021,UF,1,Ca,31520.25657
8,6,21,2021,6/21/2021,UF,1,V,0.593939394
9,6,21,2021,6/21/2021,UF,1,Cr_KED,0.098989899
10,6,21,2021,6/21/2021,UF,1,Cr_NH3,0.133333333
11,6,21,2021,6/21/2021,UF,1,Fe_NH3,1.278561108
12,6,21,2021,6/21/2021,UF,1,Mn,67.45656566
13,6,21,2021,6/21/2021,UF,1,Fe_KED,1.423266507
14,6,21,2021,6/21/2021,UF,1,Co,0.068271155
15,6,21,2021,6/21/2021,UF,1,Ni,0.313131313
16,6,21,2021,6/21/2021,UF,1,Cu_KED,1.026289638
17,6,21,2021,6/21/2021,UF,1,Cu_NH3,3.288888889
18,6,21,2021,6/21/2021,UF,1,Zn,1.363636364
19,6,21,2021,6/21/2021,UF,1,As_STD,11.25050505
20,6,21,2021,6/21/2021,UF,1,As_KED,6.913131313
21,6,21,2021,6/21/2021,UF,1,As_Oshift,10.92929293
22,6,21,2021,6/21/2021,UF,1,Se..77..77.77..ppb.,0.426625595
23,6,21,2021,6/21/2021,UF,1,Se77_Oshift,0.05784852
24,6,21,2021,6/21/2021,UF,1,Se78_Oshift,0.044444444
25,6,21,2021,6/21/2021,UF,1,Se80_Oshift,0.105050505
26,6,21,2021,6/21/2021,UF,1,Se..82..82.82..ppb.,0.446464646
27,6,21,2021,6/21/2021,UF,1,Se82_Oshift,0.084848485
28,6,21,2021,6/21/2021,UF,1,Mo_NH3,17.57171717
29,6,21,2021,6/21/2021,UF,1,Mo_Oshift,17.08888889
30,6,21,2021,6/21/2021,UF,1,Cd111,0.011049424
31,6,21,2021,6/21/2021,UF,1,Cd114,0.018181818
32,6,21,2021,6/21/2021,UF,1,Pb_STD,0.15959596
33,6,21,2021,6/21/2021,UF,1,Pb_NH3,0.163636364
34,6,21,2021,6/21/2021,UF,6,Na,14494.53939
35,6,21,2021,6/21/2021,UF,6,Mg,10128.50505
36,6,21,2021,6/21/2021,UF,6,Al,3.424242424
37,6,21,2021,6/21/2021,UF,6,P,31.43838384
38,6,21,2021,6/21/2021,UF,6,S,22463.10303
39,6,21,2021,6/21/2021,UF,6,K,2921.892929
40,6,21,2021,6/21/2021,UF,6,Ca,49979.47879
41,6,21,2021,6/21/2021,UF,6,V,1.349494949
42,6,21,2021,6/21/2021,UF,6,Cr_KED,0.101010101
43,6,21,2021,6/21/2021,UF,6,Cr_NH3,0.111111111
44,6,21,2021,6/21/2021,UF,6,Fe_NH3,1.278561108
45,6,21,2021,6/21/2021,UF,6,Mn,27.15757576
46,6,21,2021,6/21/2021,UF,6,Fe_KED,1.423266507
47,6,21,2021,6/21/2021,UF,6,Co,0.068271155
48,6,21,2021,6/21/2021,UF,6,Ni,0.41010101
49,6,21,2021,6/21/2021,UF,6,Cu_KED,4.690909091
50,6,21,2021,6/21/2021,UF,6,Cu_NH3,4.872727273
51,6,21,2021,6/21/2021,UF,6,Zn,1.422222222
52,6,21,2021,6/21/2021,UF,6,As_STD,10.88686869
53,6,21,2021,6/21/2021,UF,6,As_KED,9.448484848
54,6,21,2021,6/21/2021,UF,6,As_Oshift,11.44646465
55,6,21,2021,6/21/2021,UF,6,Se..77..77.77..ppb.,0.426625595
56,6,21,2021,6/21/2021,UF,6,Se77_Oshift,0.05784852
57,6,21,2021,6/21/2021,UF,6,Se78_Oshift,0.115151515
58,6,21,2021,6/21/2021,UF,6,Se80_Oshift,0.123232323
59,6,21,2021,6/21/2021,UF,6,Se..82..82.82..ppb.,0.571717172
60,6,21,2021,6/21/2021,UF,6,Se82_Oshift,0.133333333
61,6,21,2021,6/21/2021,UF,6,Mo_NH3,12.44646465
62,6,21,2021,6/21/2021,UF,6,Mo_Oshift,12.51515152
63,6,21,2021,6/21/2021,UF,6,Cd111,0.022222222
64,6,21,2021,6/21/2021,UF,6,Cd114,0.026262626
65,6,21,2021,6/21/2021,UF,6,Pb_STD,0.147474747
66,6,21,2021,6/21/2021,UF,6,Pb_NH3,0.079761723
67,6,21,2021,6/21/2021,UF,8,Na,17812.13131
68,6,21,2021,6/21/2021,UF,8,Mg,12352.32323
69,6,21,2021,6/21/2021,UF,8,Al,3.022222222
70,6,21,2021,6/21/2021,UF,8,P,38.31515152
71,6,21,2021,6/21/2021,UF,8,S,22371.86667
72,6,21,2021,6/21/2021,UF,8,K,3244.979798
73,6,21,2021,6/21/2021,UF,8,Ca,56078.1596
74,6,21,2021,6/21/2021,UF,8,V,1.997979798
75,6,21,2021,6/21/2021,UF,8,Cr_KED,0.105050505
76,6,21,2021,6/21/2021,UF,8,Cr_NH3,0.092929293
77,6,21,2021,6/21/2021,UF,8,Fe_NH3,1.278561108
78,6,21,2021,6/21/2021,UF,8,Mn,31.74141414
79,6,21,2021,6/21/2021,UF,8,Fe_KED,1.423266507
80,6,21,2021,6/21/2021,UF,8,Co,0.068271155
81,6,21,2021,6/21/2021,UF,8,Ni,0.456565657
82,6,21,2021,6/21/2021,UF,8,Cu_KED,8.234343434
83,6,21,2021,6/21/2021,UF,8,Cu_NH3,8.278787879
84,6,21,2021,6/21/2021,UF,8,Zn,2.753535354
85,6,21,2021,6/21/2021,UF,8,As_STD,10.9959596
86,6,21,2021,6/21/2021,UF,8,As_KED,10.48484848
87,6,21,2021,6/21/2021,UF,8,As_Oshift,11.07878788
88,6,21,2021,6/21/2021,UF,8,Se..77..77.77..ppb.,0.426625595
89,6,21,2021,6/21/2021,UF,8,Se77_Oshift,0.05784852
90,6,21,2021,6/21/2021,UF,8,Se78_Oshift,0.078787879
91,6,21,2021,6/21/2021,UF,8,Se80_Oshift,0.129292929
