,Group.1,Group.2,Group.3,...1,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
10,8/3/2021,BN,EPIL,110,8/3/2021,NA,167.82,3,11.50393703,73.76325404,7.021062297,32.12232795,0.003264014,126.6561694,0.001816432,0.241817713,9.686722566,0.002094257,1.163169082,0.042683251,0.003685744,14.16856407,0.046529793,1374.083399,0.022154529,2.942092412,114.0814988,0.023147579,12.66110997,0.492925677,0.045889358,136.9619985,0.95391957,0,0.102709793,8.502060609,313.7432895,0,25.02888922,1.098821292,0.067561251,17.91876313,0.35122097,0,0.001346779,3.171910109,0,0.212541477,0,0.685135794,0.022522254,1.478099735,11.57182398,84340.76912,0.012666712,2.477739482,,3.915479393,18.24295485,0.223005734,0.189863504,1.567952612
47,8/3/2021,BN,EPIP,268,8/3/2021,NA,167.82,3,41.30409867,32.35985281,11.9583242,31.51276126,0.0040191,111.6151566,0.001782995,0.25123512,10.29543893,0.00171889,0.934125996,0.042130745,0.004353247,10.55920042,0.395478491,4369.24118,0.078049865,10.94916328,437.9665939,0.062783681,35.92853387,1.752328941,0.20241024,234.6907086,0.95391957,0,0.102709793,8.502060609,313.7432895,0,25.02888922,1.098821292,0.067561251,17.91876313,0.35122097,0,0.001346779,3.171910109,0,0.212541477,0,0.685135794,0.022522254,1.478099735,11.57182398,84340.76912,0.012666712,2.477739482,,3.915479393,18.24295485,0.223005734,0.189863504,1.567952612
68,8/3/2021,BN,FILA,364,8/3/2021,NA,167.82,2.75,28.59610246,95.54788796,,163.726986,,,,,,,,,,,,,,,,,,,,,0.95391957,0,0.102709793,8.502060609,313.7432895,0,25.02888922,1.098821292,0.067561251,17.91876313,0.35122097,0,0.001346779,3.171910109,0,0.212541477,0,0.685135794,0.022522254,1.478099735,11.57182398,84340.76912,0.012666712,2.477739482,,3.915479393,18.24295485,0.223005734,0.189863504,1.567952612
28,7/7/2021,GR,EPIL,48,7/7/2021,NA,64.82,3,14.81611403,69.78031706,20.82650694,24.2546215,0.061966734,125.5818672,0.005166471,0.441887767,12.53840172,0.001506691,1.851868562,0.060281457,0.008452504,49.05887517,0.882597427,1838.430557,0.074805291,6.51043047,184.387121,0.020496208,26.4982069,0.889829305,0.114892143,662.3736463,0,0,0,0.548976868,64.2787619,0,4.31469248,0,0.085646177,0,0.49225971,0,0.00612961,3.724227519,4.08508422,0.5010012,18.51771477,0.568818556,0.030299831,1.893781437,13.4973102,64542.17769,0.036993308,3.929879599,,10.08598024,21.99290963,0.136291653,0.146304189,2.688013804
29,7/20/2021,GR,EPIL,81,7/20/2021,NA,64.82,3,19.32857376,112.4986199,29.96045266,57.51180311,,,,,,,,,,,,,,,,,,,,,0.83104463,275.55012,0,1.31696257,64.58998198,0,17.28220635,0.07008737,0.092762768,0.257544352,0.77179027,5567.8447,0.012305567,4.048789334,12.5026499,0.596115455,0,0.174909919,0,1.395351402,11.16491357,58167.69772,0.026214843,2.773362369,2.290534831,7.50269646,14.8847409,0.052725595,0.183302009,2.219125835
30,8/3/2021,GR,EPIL,106.6,8/3/2021,NA,64.82,3,10.88999931,48.8435562,24.11312796,41.79448209,0.004352908,190.4139102,0.002963296,0.283207638,9.972015795,0.002823333,1.468270188,0.04275111,0.007115943,11.51101137,0.038383079,1530.136948,0.024406832,2.382590117,82.80680636,0.022527434,12.0446244,0.363674194,0.056556024,96.81459829,1.39493791,0,0.02580039,4.836482006,98.72452165,0,11.60464143,0.555444576,0.116860376,1.363008714,0.28482868,6961.89574,0,4.245332308,10.13037914,0.720927283,0,0.121190534,0,2.582665965,13.81803672,65801.51352,0.026500712,4.296547236,2.277332615,5.763170496,18.50330552,0.085148959,0.254583381,1.892685117
78,8/3/2021,GR,FILA,363,8/3/2021,NA,64.82,2,1.806452892,7.277733569,,3.52313932,0.013166346,91.58638407,0.001605652,0.216763006,6.014771997,0.001605652,0.968529223,0.047527296,0.002091375,0.25465639,0.023784383,165.4464884,0.002900535,0.391572159,10.86540227,0.002900535,1.749602416,0.085855821,0.00377797,0.460024773,1.39493791,0,0.02580039,4.836482006,98.72452165,0,11.60464143,0.555444576,0.116860376,1.363008714,0.28482868,6961.89574,0,4.245332308,10.13037914,0.720927283,0,0.121190534,0,2.582665965,13.81803672,65801.51352,0.026500712,4.296547236,2.277332615,5.763170496,18.50330552,0.085148959,0.254583381,1.892685117
8,7/7/2021,BN,EPIL,51.2,7/7/2021,NA,167.82,3,,,10.70526147,16.61899345,0.039080153,58.11292348,0.00356022,0.408181438,15.88783576,0.000456905,1.172500568,0.066972334,0.003431676,16.14740201,,,,,,,,,,,0.18090317,0,0.009138552,0,20.05529266,0,0,0,0.097006067,0,0.60393482,881.71612,0,2.718613794,6.008754421,0.261237487,20.55846295,0.1430191,0.00474765,0.812736889,10.91464228,67033.42468,0.02710925,3.728882014,1.961686738,5.342600402,13.22222505,0.28040337,0.172538508,1.33580347
45,7/7/2021,BN,EPIP,245.2,7/7/2021,NA,167.82,3,2.405826758,14.26238922,2.867805825,4.17292359,0.052701826,52.65442662,0.003846836,0.551632257,23.20867508,0.000800746,2.029570472,0.09555154,0.003676069,19.89020049,0.1418106,135.0762689,0.010385853,1.490895049,62.66115876,0.001636244,5.345934596,0.258995044,0.009302905,50.50450537,0.18090317,0,0.009138552,0,20.05529266,0,0,0,0.097006067,0,0.60393482,881.71612,0,2.718613794,6.008754421,0.261237487,20.55846295,0.1430191,0.00474765,0.812736889,10.91464228,67033.42468,0.02710925,3.728882014,1.961686738,5.342600402,13.22222505,0.28040337,0.172538508,1.33580347
66,7/7/2021,BN,FILA,337.2,7/7/2021,NA,167.82,3,103.2156008,238.7244138,,167.4455098,0.020047081,29.82570766,0.001904134,0.220921958,8.53834839,0.00053331,1.362342431,0.035026673,0.00102371,0.466231802,2.141682895,3156.804611,0.212900791,24.90256072,903.0404896,0.060723607,147.6931593,3.881342821,0.112161592,50.114385,0.18090317,0,0.009138552,0,20.05529266,0,0,0,0.097006067,0,0.60393482,881.71612,0,2.718613794,6.008754421,0.261237487,20.55846295,0.1430191,0.00474765,0.812736889,10.91464228,67033.42468,0.02710925,3.728882014,1.961686738,5.342600402,13.22222505,0.28040337,0.172538508,1.33580347
