"","Group.1","Group.2","Group.3","...1","SAMPLING_DATE","SITE","SITE_DISTANCE","FIELD.REP","OM.AREA.g.m2","ASH.AREA.g.m2","PHICOCYANIN.MG.M2","TOTAL.MG.M2.RITCHIE","As","Car","Cd","Cu","Fer.1","Mo","P","Pb","Se","Znr","As.1","Car.1","Cd.1","Cu.1","Fer.1.1","Mo.1","P.1","Pb.1","Se.1","Znr.1","SS.As","SS.Ca","SS.Cd","SS.Cu","SS.Fe","SS.Mo","SS.P","SS.Pb","SS.Se","SS.Zn","CL.As","CL.Ca","CL.Cd","CL.Cu","CL.Fe","CL.Mo","CL.P","CL.Pb","CL.Se","CL.Zn","TD.As","TD.Ca","TD.Cd","TD.Cu","TD.Fe","TD.Mo","TD.P","TD.Pb","TD.Se","TD.Zn"
"1",2021-06-22,"BG","EPIL",10.6666666666667,2021-06-22,NA,144.32,2.66666666666667,8.8990374675,64.227284925,14.9495567243333,21.7904036736667,0.0411300698333333,68.73571416,0.00395983433333333,0.427754352166667,16.2937513583333,0.000465747666666667,1.51869281183333,0.0742122033333333,0.00349815533333333,4.35435848516667,0.366478932333333,502.853313993333,0.0326215575,3.80499203633333,148.939475905,0.00283196883333333,12.5291322845,0.6440900965,0.0212704901666667,23.7669233571667,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
"2",2021-07-07,"BG","EPIL",53,2021-07-07,NA,144.32,3,17.199609403,101.2452386302,21.137532863,34.931034708,0.0666148696,87.1746911206,0.006735735,0.733127698,27.2022001068,0.0010171206,1.947110612,0.1188807676,0.0076394404,32.7690673854,1.6181391454,1757.52510592,0.1520060542,18.102916562,672.7755901212,0.0197399718,43.3364859136,2.9054040742,0.1482639506,675.6057966078,0,0,0.00213602,0,86.15782326,0,0,0,0.0449806,0.538254793,0.68904764,4007.23361,0.007543351,4.970435756,13.54439479,1.74052514,22.24116052,0.480851152,0.02473745,1.794807484,11.22955237,68361.02235,0.029951625,3.169342167,0.468402153,4.983118962,18.96716008,0.260427849,0.171800112,1.601204624
"3",2021-07-20,"BG","EPIL",71,2021-07-20,NA,144.32,3,25.566512958,148.97418979,16.297082385,41.640635078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
"4",2021-08-03,"BG","EPIL",113.4,2021-08-03,NA,144.32,3,6.5918507368,33.32427245,9.9550508658,19.260377498,0.008725032,99.485423864,0.0026510754,0.3188659826,12.191335072,0.0019261936,1.1943556262,0.0510002948,0.0035138116,12.316397068,0.0478501306,649.98164926,0.0169903746,2.0769045486,80.079886334,0.0135368406,8.1377631028,0.3346456614,0.0235141442,95.781596626,0.40947153,0,0.049326295,5.665336619,197.1272269,0,15.60632446,1.067916052,0.072992572,5.918455443,0.70943419,3248.89706,0.003544503,2.354127035,8.387833653,0.298858435,0,0.161388126,0,2.950259788,11.36566092,80828.99095,0.016145485,2.680097726,0.415757602,4.114875393,21.01052613,0.130812572,0.225844386,1.939694899
"5",2021-08-17,"BG","EPIL",147.5,2021-08-17,NA,144.32,3.83333333333333,17.0451214293333,84.9840735333333,25.3434524316667,48.15390353,0.0091218245,92.6914760783333,0.00216573233333333,0.268288544666667,10.5470036248333,0.0014205165,0.889603456833333,0.0415813086666667,0.004213506,6.7612641925,0.1675471005,1518.23098731667,0.038703969,4.86697308866667,188.30746942,0.0241435036666667,15.5476167968333,0.7474696545,0.0733436165,126.515670636667,0,0,0.015574824,2.59273945,111.7103754,0,0,0.55107043,0.077314846,0.910902459,1.04286808,3217.02324,0.007398702,2.161954667,7.054034081,0.397276713,0,0.10583965,0.072654029,1.093440242,10.09626239,79151.42972,0.016622257,2.523033816,0.989594709,5.108686349,40.16955685,0.111473762,0.182449708,1.992987403
"6",2021-09-22,"BG","EPIL",183,2021-09-22,NA,144.32,3,25.971868518,193.02290534,24.5352589494,74.884639678,0.0087889184,90.66590401,0.001699337,0.2346873508,10.1531954716,0.0013377976,0.8231613606,0.0368040618,0.0016630482,5.3219948328,0.2283930518,2380.3070626,0.0448854686,6.1654666512,264.3455948,0.0356944622,21.694634878,0.9696231894,0.041468683,137.77384745,0.682013009,0,0.019420042,2.488774618,95.86829993,0,13.20644973,0.42035241,0.094139832,0.273647105,4.436061193,34274.09814,0.009602128,2.595777299,7.636057572,2.715559142,3.085017165,0.182998827,0.095902489,2.778720344,4.209,33636.098,0.01,1.221,0,2.46,3.64,0.057,0.072,0.858
"7",2021-06-22,"BN","EPIL",22.8,2021-06-22,NA,167.82,3,8.7655947752,65.654505962,21.390918088,18.420469158,0.024009524,51.540749234,0.002663924,0.274967917,11.3411238272,0.0004732244,2.8881536318,0.0499945756,0.0035543152,3.8956637478,0.234703208,411.7224431,0.0229398212,2.6914729718,110.686348396,0.003425769,24.282905668,0.4732513166,0.0257304344,26.4779312762,0.06883021,740.47786,0.010537553,2.174019893,106.4023859,0,4.25071557,0.609927803,0,1.837748069,1.366403952,3588.69184,0.010263112,3.833532783,13.73085983,0.481409562,5.1106651,0.12484624,0.046191292,2.899229651,9.129827418,58558.30561,0.02445536,4.674474444,0.534254592,5.04339323,49.37642433,0.164101274,0.124652609,1.177282331
"8",2021-07-07,"BN","EPIL",51.2,2021-07-07,NA,167.82,3,7.83907613075,50.3520120325,10.7052614682,16.618993447,0.0390801526,58.112923482,0.0035602204,0.408181438,15.887835762,0.000456905,1.1725005684,0.0669723342,0.003431676,16.1474020106,0.32989045775,480.3433056,0.0294216535,3.3791839215,131.5456258925,0.0045804745,9.545855162,0.56439737625,0.03440325275,161.9249113455,0.18090317,0,0.009138552,0,20.05529266,0,0,0,0.097006067,0,0.60393482,881.71612,0,2.718613794,6.008754421,0.261237487,20.55846295,0.1430191,0.00474765,0.812736889,10.91464228,67033.42468,0.02710925,3.728882014,1.961686738,5.342600402,13.22222505,0.28040337,0.172538508,1.33580347
"9",2021-07-20,"BN","EPIL",81.2,2021-07-20,NA,167.82,3,14.4752973456,82.25829999,14.860367588,37.6133039586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320955951,548.3195,0.006792521,0,20.04027093,0,11.02199623,0.022847358,0.071016287,0,9.552023908,63901.6014,0.011889277,4.924465245,4.997609304,3.970759166,4.872761433,0.15940926,0.172860436,2.775087059,0.037498153,101.2063619,0,0,0,0.0020797,0,0,0.012578444,0
"10",2021-08-03,"BN","EPIL",110,2021-08-03,NA,167.82,3,11.5039370272,73.76325404,7.0210622966,32.122327952,0.0032640138,126.656169432,0.0018164318,0.241817713,9.6867225664,0.002094257,1.1631690824,0.042683251,0.0036857438,14.1685640736,0.0465297926,1374.08339866,0.0221545294,2.9420924118,114.081498814,0.0231475794,12.661109966,0.4929256768,0.045889358,136.961998468,0.95391957,0,0.102709793,8.502060609,313.7432895,0,25.02888922,1.098821292,0.067561251,17.91876313,0.35122097,0,0.001346779,3.171910109,0,0.212541477,0,0.685135794,0.022522254,1.478099735,11.57182398,84340.76912,0.012666712,2.477739482,14.50522075,3.915479393,18.24295485,0.223005734,0.189863504,1.567952612
