,Group.1,Group.2,Group.3,...1,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
27,6/22/2021,GR,EPIL,22,6/22/2021,NA,64.82,3,14.15166764,59.29017814,30.56608917,35.03989622,0.075140235,132.6681089,0.006064474,0.628972957,18.83634625,0.001648411,2.675471328,0.094091792,0.004260251,23.69543745,0.384862938,855.6897917,0.033479375,3.355406087,98.44963665,0.013443708,15.20648825,0.496472876,0.025259564,70.3544155,12.84995732,59098.23099,0.060416937,13.90725639,131.1604015,12.07525661,49.94399893,1.26508994,0.142143197,5.572453166,12.04164992,58857.9547,0.037943215,9.318526537,,12.07525661,42.86437718,0.304594294,0.142143197,3.573112979,11.07861273,56078.16017,0.032270945,,0.893056537,11.2267707,38.31534624,0.162391533,0.128457399,2.753237896
34,6/22/2021,WS,EPIL,8.4,6/22/2021,NA,0,3,9.838670442,53.6774008,16.85451351,23.71704004,0.093115942,77.20611916,0.003636924,0.623207729,20.79057971,0.00491752,2.088703704,0.078926731,0.004142438,20.51166667,0.777189474,637.8444154,0.030283357,5.251946621,174.9753573,0.04084886,17.3854744,0.665919474,0.034257215,165.8556867,12.90683137,50014.60911,0.033927077,5.72370507,116.0729088,19.63937721,95.5127819,0.525357806,0.150406372,2.574909322,12.00705689,48149.2225,0.017703497,4.575401795,23.81657906,17.61530475,69.59671117,0.225761604,0.126997065,2.574909322,10.92966822,31520.2563,0.014483843,3.289832296,1.675795996,17.57099456,52.27573716,0.163006529,0.105693162,1.363533802
20,6/22/2021,GC,EPIL,18.83333333,6/22/2021,NA,89.22,2.666666667,7.682113386,19.72099037,29.7969269,29.28408004,0.033018761,146.600012,0.004837305,0.242720232,9.329701045,0.000467997,2.175439413,0.04324479,0.003515056,8.383490012,0.254455042,1120.950482,0.036977467,1.861480301,71.89326864,0.003528105,16.6171493,0.328217923,0.026499063,67.32484286,9.938812509,54882.01793,0.044574112,,156.638577,6.751938948,52.77232571,1.030440871,0.145710188,8.226902983,8.872760222,54882.01793,0.026404921,,23.42879731,6.751938948,46.57525714,0.302618789,0.145710188,8.226902983,7.991082317,47860.89366,0.021627081,4.649268471,0.641500704,6.277172244,45.17464808,0.167812833,0.096693384,1.716684255
71,6/22/2021,GC,FILA,318,6/22/2021,NA,89.22,1,4.946957858,7.885988876,NA,4.097101234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.938812509,54882.01793,0.044574112,,156.638577,6.751938948,52.77232571,1.030440871,0.145710188,8.226902983,8.872760222,54882.01793,0.026404921,,23.42879731,6.751938948,46.57525714,0.302618789,0.145710188,8.226902983,7.991082317,47860.89366,0.021627081,4.649268471,0.641500704,6.277172244,45.17464808,0.167812833,0.096693384,1.716684255
16,8/3/2021,DL,EPIL,105,8/3/2021,NA,44.9,3,8.212805306,34.40038799,12.77376272,43.81623153,0.033462666,271.5092257,0.006202083,0.776456247,19.71315608,0.004871999,2.410535306,0.093336846,0.011104772,18.49496237,0.261060958,2131.471873,0.048706443,6.056015509,153.4309584,0.038155676,18.82870404,0.727078132,0.087250212,143.3661367,14.3005161,76458.18136,0.075747537,15.26767875,157.6809961,7.43468161,16.95550163,1.324702213,0.287672602,10.19223691,12.39680685,75944.1939,0.039818325,8.255989918,20.77378254,7.43468161,6.384603835,0.192807557,0.239146608,7.066552601,12.39680685,70691.31803,0.036858811,4.415477038,0.998792364,6.978384416,6.384603835,0.068899517,0.239146608,4.623640181
13,6/22/2021,DL,EPIL,17,6/22/2021,NA,44.9,3,15.59642641,36.17579156,30.88449263,39.50604376,0.055234247,57.63958071,0.003183589,0.48958454,15.91868051,0.00195026,2.103957552,0.074475651,0.003246313,14.49998974,0.853697798,871.3542888,0.049835958,7.612996069,248.2506653,0.032969916,33.48794851,1.164360707,0.052269476,206.0917754,12.81938004,54436.67293,0.050544452,14.03358018,133.664967,13.0939943,45.09788841,1.038128123,0.122942172,4.881509423,11.52418701,52941.53361,0.030590594,8.103007787,19.0230195,12.91684143,32.1674882,0.281228127,0.122715272,3.401555901,11.44683498,49979.47914,0.022115906,4.873466893,0.855182464,12.44574943,31.43901176,0.147037123,0.122715272,1.422121396
35,7/7/2021,WS,EPIL,36.8,7/7/2021,NA,0,3,7.805485518,24.24589798,9.020649593,21.85942205,0.069576291,77.67117842,0.003382705,0.453697935,13.7732076,0.006886526,2.240765524,0.073026982,0.011046385,69.6936797,0.529201144,552.0698099,0.026936102,3.494050205,105.7380556,0.049267365,19.1985931,0.657822813,0.069252726,433.5533689,11.01401062,69916.86871,0.027464676,8.371134504,77.52444759,25.44492333,83.36660081,0.144424108,0.219388764,3.938742688,10.82049966,69916.86871,0.019654866,7.714183547,16.14269759,25.44492333,56.08866996,0.102894427,0.11373993,3.938742688,10.82049966,69916.86871,0.019654866,,1.147265885,25.44492333,56.08866996,0.048172727,0.086415387,3.938742688
17,8/17/2021,DL,EPIL,130,8/17/2021,NA,44.9,3,7.693571374,40.48761958,16.61358008,25.12240466,0.021777493,160.0605064,0.002466689,0.697565254,14.83444038,0.005211438,1.397747881,0.077865122,0.007026185,36.75884423,0.164419202,1089.943679,0.017644143,4.807098088,102.0760637,0.034453998,9.249907364,0.535903857,0.046237001,232.9614154,13.81730553,81819.56108,0.049999307,12.10165099,113.0123136,22.28331083,26.51571377,1.508762478,0.217214907,10.93380775,13.22476649,77669.14157,0.033093226,7.056787763,16.04782931,22.28331083,26.51571377,1.508762478,0.217214907,10.93380775,12.18524145,75134.91984,0.030997567,3.39182245,,19.98145253,26.51571377,0.226445993,0.217214907,4.331936254
14,7/7/2021,DL,EPIL,43,7/7/2021,NA,44.9,3,12.08268235,56.76147031,12.47038325,22.11598846,0.062977746,87.77796019,0.004248428,0.608494102,14.03843724,0.001403032,1.353772509,0.088351934,0.005906083,30.45206842,0.759733031,1054.053322,0.049408575,7.301468106,169.4326206,0.016739852,15.78703156,1.094635053,0.068687243,353.8201626,12.80077676,63942.02563,0.048547271,9.616945001,97.56966832,14.29350691,58.296512,0.682134351,0.249435643,8.031211959,12.78669291,63942.02563,0.035585433,6.517634143,14.81179243,14.29350691,29.10502018,0.509215895,0.156962149,8.031211959,11.40356631,63942.02563,0.033301572,3.185191132,0.829712123,13.10256508,29.10502018,0.228483834,0.150799307,2.6805463
29,7/20/2021,GR,EPIL,81,7/20/2021,NA,64.82,3,19.32857376,112.4986199,29.96045266,57.51180311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.76774847,64011.09254,0.03852041,8.139114273,79.38316671,8.098811915,32.16694725,0.297722884,0.276064777,3.872021589,11.93670384,63735.54242,0.03852041,6.822151703,14.79318473,8.098811915,14.8847409,0.227635514,0.183302009,3.614477237,11.16491357,58167.69772,0.026214843,2.773362369,2.290534831,7.50269646,14.8847409,0.052725595,0.183302009,2.219125835
