,site,date,UF_Na,UF_Mg,UF_Al,UF_P,UF_S,UF_K,UF_Ca,UF_V,UF_Cr_KED,UF_Cr_NH3,UF_Fe_NH3,UF_Mn,UF_Fe_KED,UF_Co,UF_Ni,UF_Cu_KED,UF_Cu_NH3,UF_Zn,UF_As_STD,UF_As_KED,UF_As_Oshift,UF_Se..77..77.77..ppb.,UF_Se77_Oshift,UF_Se78_Oshift,UF_Se80_Oshift,UF_Se..82..82.82..ppb.,UF_Se82_Oshift,UF_Mo_NH3,UF_Mo_Oshift,UF_Cd111,UF_Cd114,UF_Pb_STD,UF_Pb_NH3,F_Na,F_Mg,F_Al,F_P,F_S,F_K,F_Ca,F_V,F_Cr_KED,F_Cr_NH3,F_Fe_NH3,F_Mn,F_Fe_KED,F_Co,F_Ni,F_Cu_KED,F_Cu_NH3,F_Zn,F_As_STD,F_As_KED,F_As_Oshift,F_Se..77..77.77..ppb.,F_Se77_Oshift,F_Se78_Oshift,F_Se80_Oshift,F_Se..82..82.82..ppb.,F_Se82_Oshift,F_Mo_NH3,F_Mo_Oshift,F_Cd111,F_Cd114,F_Pb_STD,F_Pb_NH3,W_Na,W_Mg,W_Al,W_P,W_S,W_K,W_Ca,W_V,W_Cr_KED,W_Cr_NH3,W_Fe_NH3,W_Mn,W_Fe_KED,W_Co,W_Ni,W_Cu_KED,W_Cu_NH3,W_Zn,W_As_STD,W_As_KED,W_As_Oshift,W_Se..77..77.77..ppb.,W_Se77_Oshift,W_Se78_Oshift,W_Se80_Oshift,W_Se..82..82.82..ppb.,W_Se82_Oshift,W_Mo_NH3,W_Mo_Oshift,W_Cd111,W_Cd114,W_Pb_STD,W_Pb_NH3
1,WS,6/21/2021,8221.153535,5815.781818,4.731313131,52.27474747,14917.33939,1825.284848,31520.25657,0.593939394,0.098989899,0.133333333,1.218874063,67.45656566,1.364188275,0.065677402,0.313131313,2.042424242,3.288888889,1.363636364,11.25050505,6.913131313,10.92929293,0.433699895,0.055646451,0.044444444,0.105050505,0.446464646,0.084848485,17.57171717,17.08888889,0.010636193,0.018181818,0.15959596,0.163636364,10777.1899,8709.385859,12.65050505,69.5959596,25272.66465,2767.682828,48149.22222,0.703030303,0.111111111,0.098989899,23.81616162,72.02828283,24.67474747,0.065677402,0.563636364,4.58989899,4.575757576,2.575757576,11.94545455,9.987878788,12.00606061,0.433699895,0.055646451,0.111111111,0.127272727,0.484848485,0.062626263,17.61616162,18.64444444,0.010636193,0.02020202,0.22020202,0.226262626,11305.58586,8934.949495,102.0606061,49.64032951,30712.87879,3428.868687,50014.60606,1.434343434,0.131217012,0.242424242,116.0707071,82.62626263,116.3131313,0.32838701,0.757575758,4.951587001,5.087890009,1.666666667,13.50505051,10.65656566,12.90909091,2.168499474,0.278232254,0.089658949,0.151515152,0.481429161,0.112595629,19.63636364,18.97979798,0.053180963,0.039323993,0.356150362,0.390131458
2,GC,6/21/2021,14494.53939,10128.50505,3.424242424,31.43838384,22463.10303,2921.892929,49979.47879,1.349494949,0.101010101,0.111111111,1.218874063,27.15757576,1.364188275,0.065677402,0.41010101,4.690909091,4.872727273,1.422222222,10.88686869,9.448484848,11.44646465,0.433699895,0.055646451,0.115151515,0.123232323,0.571717172,0.133333333,12.44646465,12.51515152,0.022222222,0.026262626,0.147474747,0.078026292,13784.20606,10670.28283,13.52929293,32.16767677,23945.68081,2958.313131,52941.53333,1.347474747,0.109090909,0.115151515,19.02222222,28.41010101,20.08282828,0.065677402,0.519191919,8.632323232,8.103030303,3.402020202,13.52121212,10.63232323,11.52323232,1.183838384,0.234343434,0.105050505,0.119191919,0.581818182,0.137373737,12.91717172,12.76363636,0.03030303,0.032323232,0.319191919,0.280808081,14556.60606,10918.51515,137.6565657,49.64032951,31746.45455,3909.838384,54436.67677,2.212121212,0.131217012,0.252525253,133.6666667,40.17171717,135.010101,0.32838701,0.555555556,13.76767677,14.03030303,4.878787879,13.27272727,13.12121212,12.81818182,2.168499474,0.278232254,0.089658949,0.121212121,1.171717172,0.112595629,13.09090909,12.87878788,0.053180963,0.039323993,1.03030303,1.04040404
3,BG,6/21/2021,17812.13131,12352.32323,3.022222222,38.31515152,22371.86667,3244.979798,56078.1596,1.997979798,0.105050505,0.092929293,1.218874063,31.74141414,1.364188275,0.065677402,0.456565657,8.234343434,8.278787879,2.753535354,10.9959596,10.48484848,11.07878788,0.433699895,0.055646451,0.078787879,0.129292929,0.571717172,0.167676768,11.22626263,10.84242424,0.032323232,0.028282828,0.157575758,0.161616162,16886.66465,13010.79798,7.393939394,42.86464646,25004.20606,3405.723232,58857.95556,1.842424242,0.117171717,0.103030303,54.74343434,34.23636364,55.44040404,0.065677402,0.565656566,9.181818182,9.319191919,3.573737374,11.83434343,11.95555556,12.04242424,0.433699895,0.133333333,0.18989899,0.141414141,0.622222222,0.139393939,12.07474747,11.72121212,0.038383838,0.04040404,0.290909091,0.305050505,16701.09091,11881.39394,130.4242424,49.64032951,28364.88889,4441.060606,59098.23232,2.747474747,0.343434343,0.363636364,131.1616162,47.14141414,128.3636364,0.32838701,0.444444444,13.41414141,13.90909091,5.575757576,12.67676768,10.5959596,12.84848485,2.168499474,0.278232254,0.089658949,0.054204449,0.481429161,0.112595629,11.62626263,11.47474747,0.053180963,0.039323993,1.070707071,1.262626263
4,BN,6/21/2021,13682.72121,11002.19798,2.854545455,45.17373737,16282.6,2706.646465,47860.89293,1.503030303,0.082828283,0.076767677,1.218874063,18.95555556,1.364188275,0.065677402,0.37979798,4.61010101,4.648484848,1.717171717,8.092929293,7.642424242,7.991919192,0.433699895,0.055646451,0.127272727,0.096969697,0.496969697,0.084848485,6.276767677,6.072727273,0.022222222,0.026262626,0.16969697,0.167676768,13672.11313,12533.95354,10.86262626,46.57575758,19403.7596,3001.256566,54882.01818,1.602020202,0.18989899,0.183838384,23.42828283,21.73535354,25.32525253,0.065677402,0.567676768,21.55757576,20.48282828,8.226262626,8.822222222,7.901010101,8.872727273,0.433699895,0.055646451,0.109090909,0.145454545,0.521212121,0.088888889,6.751515152,6.707070707,0.026262626,0.034343434,0.298989899,0.303030303,12936.18182,11516.74747,188.4646465,49.64032951,23997.35354,3626.515152,52640.61616,2.222222222,0.131217012,0.252525253,156.6363636,38.77777778,155.4343434,0.32838701,0.424242424,12.21212121,12.37373737,4.909090909,9.282828283,7.474747475,9.939393939,2.168499474,0.278232254,0.089658949,0.054204449,0.481429161,0.112595629,6.707070707,7.121212121,0.053180963,0.039323993,0.96969697,1.03030303
5,DL,6/21/2021,14866.82626,14117.81212,1.828282828,49.57575758,22822.15758,3265.579798,59987.40606,1.915151515,0.133333333,0.098989899,1.218874063,16.25656566,1.364188275,0.065677402,0.480808081,4.696969697,4.727272727,1.034343434,9.109090909,7.75959596,9.171717172,0.433699895,0.055646451,0.197979798,0.137373737,0.547474747,0.125252525,5.551515152,5.341414141,0.026262626,0.028282828,0.151515152,0.15959596,12904.51919,14435.39394,10.59393939,54.63636364,23872.66263,3354.323232,62509.88687,1.773737374,0.139393939,0.119191919,14.46262626,19.8989899,15.04242424,0.065677402,0.587878788,7.787878788,7.795959596,2.868686869,9.531313131,8.034343434,10.85656566,0.433699895,0.151515152,0.214141414,0.18989899,0.733333333,0.171717172,5.725252525,6.337373737,0.032323232,0.032323232,0.260606061,0.280808081,15212.48485,15734.23232,193.010101,49.64032951,37362.90909,4523.383838,71500.29293,2.767676768,0.303030303,0.292929293,127.5959596,29.68686869,141.5555556,0.32838701,0.474747475,18.49494949,16.85858586,7.707070707,10.36363636,9.828282828,10.23232323,2.168499474,0.278232254,0.089658949,0.171717172,0.481429161,0.112595629,5.626262626,5.636363636,0.053180963,0.039323993,0.858585859,0.838383838
6,GR,6/21/2021,14386.38182,14490.09697,8.044444444,49.37575758,21155.73131,3173.789899,58558.30505,1.747474747,0.098989899,0.092929293,1.218874063,13.58383838,1.364188275,0.065677402,0.282828283,4.513131313,4.674747475,1.177777778,9.014141414,8.397979798,9.129292929,0.433699895,0.055646451,0.113131313,0.125252525,0.650505051,0.173737374,5.042424242,4.874747475,0.024242424,0.026262626,0.149494949,0.163636364,12819.63232,15171.14545,15.3979798,54.48686869,23883.03434,3298.486869,62146.99798,1.826262626,0.094949495,0.111111111,14.26464646,15.90505051,14.91515152,0.065677402,0.363636364,8.42020202,8.507070707,4.076767677,10.28080808,9.113131313,10.4969697,0.433699895,0.157575758,0.163636364,0.171717172,0.614141414,0.202020202,5.525252525,5.577777778,0.034343434,0.034343434,0.290909091,0.288888889,13365.16162,15060.20202,164.3030303,49.64032951,28043.24242,3960.545455,62887.47475,2.676767677,0.131217012,0.11823354,120.6666667,30.63636364,121.969697,0.32838701,0.525252525,10.72727273,10.68686869,5.919191919,10.37373737,10.14141414,10.56565657,2.168499474,0.278232254,0.089658949,0.054204449,0.481429161,0.112595629,5.363636364,5.373737374,0.053180963,0.039323993,0.858585859,0.898989899
7,WS,7/6/2021,18173.17576,12875.14343,13.67070707,56.08888889,38950.88081,3772.167677,69916.86869,0.975757576,0.123232323,0.125252525,1.218874063,44.32525253,1.364188275,0.065677402,0.737373737,7.705050505,7.715151515,3.939393939,10.51111111,9.256565657,10.82020202,0.433699895,0.055646451,0.072727273,0.086868687,0.57979798,0.094949495,25.44444444,25.25252525,0.010636193,0.022222222,0.071230072,0.078026292,14536.91313,11191.99394,13.38585859,30.26060606,38442.18586,3443.838384,62200.23232,0.812121212,0.16969697,0.197979798,16.14343434,42.19393939,16.53737374,0.065677402,0.822222222,2.363636364,2.426262626,1.793939394,10.24444444,9.367676768,10.46464646,0.433699895,0.055646451,0.137373737,0.113131313,0.622222222,0.076767677,24.84444444,24.44646465,0.010636193,0.024242424,0.071230072,0.078026292,11857.0202,12200.67677,50.3030303,49.64032951,32776.25253,2929.272727,62923.38384,0.565432465,0.262626263,0.11823354,43.55555556,33.62626263,47.68686869,0.32838701,0.656565657,4.951587001,5.087890009,1.757575758,11.5959596,8.98989899,10.29292929,2.168499474,0.278232254,0.089658949,0.171717172,1.070707071,0.112595629,17.1010101,17.24242424,0.053180963,0.039323993,0.356150362,0.390131458
8,GC,7/6/2021,20216.56566,12885.67071,2.315151515,29.10505051,28845.47273,3787.745455,63942.02626,1.777777778,0.131313131,0.129292929,1.218874063,36.34949495,1.364188275,0.065677402,0.432323232,3.117171717,3.185858586,2.680808081,12.87272727,11.31111111,11.4040404,0.433699895,0.055646451,0.151515152,0.151515152,0.868686869,0.105050505,13.1030303,12.25858586,0.032323232,0.034343434,0.234343434,0.228282828,17224.21212,12379.28485,8.486868687,9.928065902,27726.18586,3590.783838,63398.33131,1.664646465,0.107070707,0.127272727,14.81212121,40.30909091,14.68080808,0.065677402,0.448484848,6.307070707,6.517171717,8.03030303,12.94747475,11.20606061,12.78585859,0.433699895,0.055646451,0.208080808,0.157575758,0.824242424,0.113131313,14.29292929,13.93535354,0.036363636,0.038383838,0.535353535,0.509090909,17515.45455,13007.36364,116.6161616,49.64032951,24427.52525,3829.919192,65259.93939,1.818181818,0.363636364,0.333333333,119.2828283,56.72727273,121.7070707,0.32838701,0.262626263,12.51515152,12.02020202,5.696969697,13.37373737,10.51515152,12.62626263,2.168499474,0.278232254,0.089658949,0.353535354,1.454545455,0.505050505,8.222222222,7.929292929,0.053180963,0.039323993,1.131313131,0.888888889
9,BG,7/6/2021,22504.10707,14323.60202,2.315151515,21.99191919,24940.06667,3996.018182,64542.17778,2.325252525,1.573737374,1.482828283,13.5959596,44.33333333,14.9030303,0.065677402,0.458585859,3.997979798,3.929292929,2.688888889,13.56565657,12.8020202,13.4969697,0.433699895,0.129292929,0.16969697,0.145454545,0.856565657,0.127272727,10.08686869,9.842424242,0.036363636,0.036363636,0.071230072,0.078026292,19443.14545,13835.56162,10.24242424,40.51111111,24749.43232,3900.353535,62357.06061,2.276767677,0.113131313,0.121212121,17.68080808,45.98383838,18.32525253,0.065677402,0.37979798,7.349494949,7.654545455,4.581818182,14.03838384,12.96969697,13.98989899,0.433699895,0.055646451,0.185858586,0.175757576,0.735353535,0.119191919,10.58787879,10.18989899,0.042424242,0.04040404,0.652525253,0.705050505,20536.36364,13273.14141,71.04040404,49.64032951,24738.31313,4245.444444,64011.09091,1.848484848,0.353535354,0.393939394,79.38383838,57.21212121,85.78787879,0.32838701,0.353535354,4.951587001,5.087890009,3.868686869,14.3030303,9.929292929,12.76767677,2.168499474,0.278232254,0.282828283,0.272727273,1.95959596,0.323232323,7.808080808,8.090909091,0.053180963,0.039323993,0.356150362,0.390131458
10,BN,7/6/2021,17462.72929,13171.35152,1.818181818,23.98989899,19037.08687,3390.410101,57561.88889,1.951515152,0.131313131,0.125252525,1.218874063,18.98383838,1.364188275,0.065677402,0.333333333,3.042424242,2.951515152,1.664646465,10.18181818,9.307070707,10.18989899,0.433699895,0.055646451,0.143434343,0.139393939,0.703030303,0.058585859,6.414141414,6.202020202,0.026262626,0.026262626,0.357575758,0.387878788,15231.44646,12700.97576,19.49292929,40.91313131,19959.76364,3226.678788,60380.45859,1.987878788,0.125252525,0.125252525,14.73737374,20.57979798,15.55555556,0.065677402,0.408080808,6.654545455,6.418181818,3.042424242,11.06868687,10.03838384,10.92323232,0.433699895,0.151515152,0.141414141,0.135353535,0.55959596,0.111111111,6.995959596,6.634343434,0.032323232,0.034343434,1.129292929,1.193939394,12858.49495,11487.76768,93.18181818,49.64032951,16365.92929,2941.737374,49754.12121,1.494949495,0.282828283,0.373737374,88.63636364,38.62626263,89.32323232,0.32838701,0.343434343,4.951587001,5.087890009,3.767676768,9.909090909,7.656565657,9.222222222,2.168499474,0.278232254,0.089658949,0.171717172,0.481429161,0.232323232,4.929292929,5.04040404,0.053180963,0.039323993,0.356150362,0.390131458
