,site,date,UF_Fe_NH3,UF_Cu_NH3,UF_Zn,UF_As_Oshift,UF_Se78_Oshift,UF_Mo_Oshift,UF_Cd114,UF_Pb_NH3,F_Fe_NH3,F_Cu_NH3,F_Zn,F_As_Oshift,F_Se78_Oshift,F_Mo_Oshift,F_Cd114,F_Pb_NH3,W_Fe_NH3,W_Cu_NH3,W_Zn,W_As_Oshift,W_Se78_Oshift,W_Mo_Oshift,W_Cd114,W_Pb_NH3
1,1,6/22/2021,1.218874063,3.288888889,1.363636364,10.92929293,0.044444444,17.08888889,0.018181818,0.163636364,23.81616162,4.575757576,2.575757576,12.00606061,0.111111111,18.64444444,0.02020202,0.226262626,116.0707071,5.087890009,1.666666667,12.90909091,0.089658949,18.97979798,0.039323993,0.390131458
2,6,6/22/2021,1.218874063,4.872727273,1.422222222,11.44646465,0.115151515,12.51515152,0.026262626,0.078026292,19.02222222,8.103030303,3.402020202,11.52323232,0.105050505,12.76363636,0.032323232,0.280808081,133.6666667,14.03030303,4.878787879,12.81818182,0.089658949,12.87878788,0.039323993,1.04040404
4,9,6/22/2021,1.218874063,4.648484848,1.717171717,7.991919192,0.127272727,6.072727273,0.026262626,0.167676768,23.42828283,20.48282828,8.226262626,8.872727273,0.109090909,6.707070707,0.034343434,0.303030303,156.6363636,12.37373737,4.909090909,9.939393939,0.089658949,7.121212121,0.039323993,1.03030303
6,11,6/22/2021,1.218874063,4.674747475,1.177777778,9.129292929,0.113131313,4.874747475,0.026262626,0.163636364,14.26464646,8.507070707,4.076767677,10.4969697,0.163636364,5.577777778,0.034343434,0.288888889,120.6666667,10.68686869,5.919191919,10.56565657,0.089658949,5.373737374,0.039323993,0.898989899
5,10,6/22/2021,1.218874063,4.727272727,1.034343434,9.171717172,0.197979798,5.341414141,0.028282828,0.15959596,14.46262626,7.795959596,2.868686869,10.85656566,0.214141414,6.337373737,0.032323232,0.280808081,127.5959596,16.85858586,7.707070707,10.23232323,0.089658949,5.636363636,0.039323993,0.838383838
3,8,6/22/2021,1.218874063,8.278787879,2.753535354,11.07878788,0.078787879,10.84242424,0.028282828,0.161616162,54.74343434,9.319191919,3.573737374,12.04242424,0.18989899,11.72121212,0.04040404,0.305050505,131.1616162,13.90909091,5.575757576,12.84848485,0.089658949,11.47474747,0.039323993,1.262626263
7,1,7/7/2021,1.218874063,7.715151515,3.939393939,10.82020202,0.072727273,25.25252525,0.022222222,0.078026292,16.14343434,2.426262626,1.793939394,10.46464646,0.137373737,24.44646465,0.024242424,0.078026292,43.55555556,5.087890009,1.757575758,10.29292929,0.089658949,17.24242424,0.039323993,0.390131458
10,9,7/7/2021,1.218874063,2.951515152,1.664646465,10.18989899,0.143434343,6.202020202,0.026262626,0.387878788,14.73737374,6.418181818,3.042424242,10.92323232,0.141414141,6.634343434,0.034343434,1.193939394,88.63636364,5.087890009,3.767676768,9.222222222,0.089658949,5.04040404,0.039323993,0.390131458
12,11,7/7/2021,1.218874063,3.729292929,1.335353535,10.91515152,0.129292929,5.212121212,0.026262626,0.280808081,7.96969697,6.448484848,2.149494949,11.51919192,0.161616162,5.375757576,0.03030303,0.424242424,25.04040404,5.087890009,1.242424242,9.909090909,0.303030303,4.04040404,0.039323993,0.390131458
11,10,7/7/2021,1.218874063,3.16969697,1.602020202,11.23030303,0.177777778,5.066666667,0.03030303,0.260606061,14.01212121,8.139393939,3.395959596,11.91919192,0.16969697,5.288888889,0.032323232,0.741414141,100.1010101,5.087890009,4.646464646,9.777777778,0.202020202,4.04040404,0.039323993,0.390131458
8,6,7/7/2021,1.218874063,3.185858586,2.680808081,11.4040404,0.151515152,12.25858586,0.034343434,0.228282828,14.81212121,6.517171717,8.03030303,12.78585859,0.208080808,13.93535354,0.038383838,0.509090909,119.2828283,12.02020202,5.696969697,12.62626263,0.089658949,7.929292929,0.039323993,0.888888889
9,8,7/7/2021,13.5959596,3.929292929,2.688888889,13.4969697,0.16969697,9.842424242,0.036363636,0.078026292,17.68080808,7.654545455,4.581818182,13.98989899,0.185858586,10.18989899,0.04040404,0.705050505,79.38383838,5.087890009,3.868686869,12.76767677,0.282828283,8.090909091,0.039323993,0.390131458
13,1,8/3/2021,1.218874063,1.017578002,2.933333333,8.848484848,0.101010101,10.6989899,0.007864799,0.078026292,13.21010101,2.537373737,3.868686869,9.97979798,0.131313131,12.25050505,0.016161616,0.078026292,80.53535354,5.087890009,1.404040404,10.64646465,0.089658949,12.13131313,0.039323993,0.390131458
16,9,8/3/2021,1.218874063,2.995959596,1.555555556,9.721212121,0.181818182,4.03030303,0.018181818,0.078026292,10.76969697,6.442424242,3.032323232,10.68080808,0.15959596,4.587878788,0.026262626,0.450505051,80.44444444,5.087890009,3.03030303,10.6969697,0.232323232,4.393939394,0.039323993,0.390131458
17,10,8/3/2021,1.218874063,2.680808081,1.939393939,11.36565657,0.244444444,4.076767677,0.016161616,0.078026292,8.804040404,5.034343434,4.890909091,12.07474747,0.171717172,4.446464646,0.022222222,0.292929293,205.9292929,10.6969697,10.80808081,12.48484848,0.089658949,4.232323232,0.039323993,1.363636364
18,11,8/3/2021,14.50505051,2.476767677,1.567676768,11.57171717,0.193939394,3.967676768,0.007864799,0.222222222,9.543434343,5.650505051,3.046464646,11.92323232,0.236363636,4.151515152,0.007864799,0.909090909,323.2828283,14.15151515,20.96969697,12.87878788,0.191919192,3.98989899,,2.01010101
15,8,8/3/2021,1.218874063,4.296969697,1.892929293,13.81818182,0.238383838,5.862626263,0.022222222,0.078026292,12.40808081,8.541414141,4.474747475,14.1030303,0.258585859,6.268686869,0.026262626,0.206060606,111.1313131,13.37373737,5.838383838,15.49494949,0.373737374,6.171717172,0.039323993,0.390131458
14,6,8/3/2021,1.218874063,4.416161616,4.624242424,12.3959596,0.224242424,7.024242424,0.032323232,0.078026292,20.77373737,8.256565657,7.066666667,12.03434343,0.238383838,6.882828283,0.036363636,0.191919192,157.6767677,15.27272727,10.19191919,13.93939394,0.242424242,7.313131313,0.039323993,1.323232323
19,1,8/17/2021,1.218874063,1.017578002,1.626262626,13.56161616,0.123232323,40.88080808,0.016161616,0.078026292,11.4,2.22020202,2.094949495,14.88484848,0.139393939,45.14141414,0.007864799,0.078026292,58.07070707,5.087890009,0.898989899,14.49494949,0.222222222,42.53535354,0.039323993,0.390131458
22,9,8/17/2021,1.218874063,2.781818182,1.206060606,9.575757576,0.171717172,10.80808081,0.007864799,0.078026292,12.91717172,6.058585859,2.78989899,10.44242424,0.173737374,11.90505051,0.018181818,0.22020202,138.3636364,10.82828283,4.787878788,10.85858586,0.191919192,11.71717172,0.039323993,0.390131458
23,10,8/17/2021,1.218874063,2.523232323,1.993939394,10.0969697,0.204040404,5.133333333,0.016161616,0.078026292,8.044444444,4.684848485,3.086868687,11.13939394,0.181818182,5.731313131,0.018181818,0.218181818,119.7575758,5.087890009,4,11,0.089658949,5.383838384,0.039323993,0.390131458
