SITE,SAMPLING_DATE,SAMPLE_DESCRIPTOR,TURNOVER
BG,6/22/2021,EPIL,0.265958765
BG,6/22/2021,EPIP,0.265958765
BG,6/22/2021,FILA,0.065743577
BN,6/22/2021,EPIL,0.265671945
BN,6/22/2021,EPIP,0.265671945
BN,6/22/2021,FILA,0.054695032
DL,6/22/2021,EPIL,0.274833265
DL,6/22/2021,EPIP,0.274833265
DL,6/22/2021,FILA,
GC,6/22/2021,EPIL,0.415052395
GC,6/22/2021,EPIP,0.415052395
GC,6/22/2021,FILA,0.027934104
GR,6/22/2021,EPIL,0.241557471
GR,6/22/2021,EPIP,0.241557471
GR,6/22/2021,FILA,
WS,6/22/2021,EPIL,0.302476819
WS,6/22/2021,EPIP,0.302476819
WS,6/22/2021,FILA,
BG,7/7/2021,EPIL,0.181773201
BG,7/7/2021,EPIP,0.181773201
BG,7/7/2021,FILA,0.055615699
BN,7/7/2021,EPIL,0.21855842
BN,7/7/2021,EPIP,0.21855842
BN,7/7/2021,FILA,0.049212235
DL,7/7/2021,EPIL,0.218329182
DL,7/7/2021,EPIP,0.218329182
DL,7/7/2021,FILA,
GC,7/7/2021,EPIL,0.325653579
GC,7/7/2021,EPIP,0.325653579
GC,7/7/2021,FILA,0.031716916
GR,7/7/2021,EPIL,0.213228379
GR,7/7/2021,EPIP,0.213228379
GR,7/7/2021,FILA,
WS,7/7/2021,EPIL,0.239562007
WS,7/7/2021,EPIP,0.239562007
WS,7/7/2021,FILA,0.154625553
BG,7/20/2021,EPIL,0.176516091
BG,7/20/2021,EPIP,0.176516091
BG,7/20/2021,FILA,0.072601399
BN,7/20/2021,EPIL,0.224715653
BN,7/20/2021,EPIP,0.224715653
BN,7/20/2021,FILA,0.067416452
DL,7/20/2021,EPIL,0.231247601
DL,7/20/2021,EPIP,0.231247601
DL,7/20/2021,FILA,
GC,7/20/2021,EPIL,0.353467362
GC,7/20/2021,EPIP,0.353467362
GC,7/20/2021,FILA,0.065102197
GR,7/20/2021,EPIL,0.231248179
GR,7/20/2021,EPIP,0.231248179
GR,7/20/2021,FILA,
WS,7/20/2021,EPIL,0.200552697
WS,7/20/2021,EPIP,0.200552697
WS,7/20/2021,FILA,0.141575347
BG,8/3/2021,EPIL,0.273656656
BG,8/3/2021,EPIP,0.273656656
BG,8/3/2021,FILA,0.078563187
BN,8/3/2021,EPIL,0.313963295
BN,8/3/2021,EPIP,0.313963295
BN,8/3/2021,FILA,0.071021842
DL,8/3/2021,EPIL,0.425528178
DL,8/3/2021,EPIP,0.425528178
DL,8/3/2021,FILA,
GC,8/3/2021,EPIL,0.481851676
GC,8/3/2021,EPIP,0.481851676
GC,8/3/2021,FILA,0.083630292
GR,8/3/2021,EPIL,0.383426257
GR,8/3/2021,EPIP,0.383426257
GR,8/3/2021,FILA,0.083630292
WS,8/3/2021,EPIL,0.317104557
WS,8/3/2021,EPIP,0.317104557
WS,8/3/2021,FILA,0.116460913
BG,8/17/2021,EPIL,0.228997951
BG,8/17/2021,EPIP,0.228997951
BG,8/17/2021,FILA,0.054957041
BN,8/17/2021,EPIL,0.211075686
BN,8/17/2021,EPIP,0.211075686
BN,8/17/2021,FILA,0.054659036
DL,8/17/2021,EPIL,0.350962341
DL,8/17/2021,EPIP,0.350962341
DL,8/17/2021,FILA,
GC,8/17/2021,EPIL,0.34498104
GC,8/17/2021,EPIP,0.34498104
GC,8/17/2021,FILA,0.059594729
GR,8/17/2021,EPIL,0.298597254
GR,8/17/2021,EPIP,0.298597254
GR,8/17/2021,FILA,
WS,8/17/2021,EPIL,0.282391184
WS,8/17/2021,EPIP,0.282391184
WS,8/17/2021,FILA,0.112769909
BG,9/22/2021,EPIL,0.205083453
BG,9/22/2021,EPIP,0.205083453
BG,9/22/2021,FILA,0.114653769
BN,9/22/2021,EPIL,0.128299868
BN,9/22/2021,EPIP,0.128299868
BN,9/22/2021,FILA,0.082619374
DL,9/22/2021,EPIL,0.232239309
DL,9/22/2021,EPIP,0.232239309
DL,9/22/2021,FILA,
GC,9/22/2021,EPIL,0.214956556
GC,9/22/2021,EPIP,0.214956556
GC,9/22/2021,FILA,0.0896314
GR,9/22/2021,EPIL,0.239473633
GR,9/22/2021,EPIP,0.239473633
GR,9/22/2021,FILA,0.099756279
WS,9/22/2021,EPIL,0.297562622
WS,9/22/2021,EPIP,0.297562622
WS,9/22/2021,FILA,0.174578983
BN,10/13/2021,EPIL,0.123271155
BN,10/13/2021,EPIP,0.123271155
BN,10/13/2021,FILA,0.055459919
DL,10/13/2021,EPIL,0.139625941
DL,10/13/2021,EPIP,0.139625941
DL,10/13/2021,FILA,
GC,10/13/2021,EPIL,0.13686976
GC,10/13/2021,EPIP,0.13686976
GC,10/13/2021,FILA,0.047062289
WS,10/13/2021,EPIL,0.295226711
WS,10/13/2021,EPIP,0.295226711
WS,10/13/2021,FILA,0.085795244
GC,9/9/2021,EPIL,0.259352931
GC,9/9/2021,EPIP,0.259352931
GC,9/9/2021,FILA,0.059827187
GR,10/13/2021,EPIP,0.13686976
GR,10/13/2021,FILA,0.13686976
GR,10/13/2021,EPIL,0.047062289
