,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.,Group.1,Group.2,Group.3,P.Oshift.31.47.Oxygen.DRC..ppb.,Ca.KED.43.43.Helium.KED_Low..ppb.,Fe..54..NH3.54.54.Ammonia.DRC..ppb.,Cu..65..NH3.65.65.Ammonia.DRC..ppb.,Zn.NH3.66.66.Ammonia.DRC..ppb.,As.Oshift.75.91.Oxygen.DRC..ppb.,Se..80..Oshift.80.96.Oxygen.DRC..ppb.,Mo..95..NH3.95.95.Ammonia.DRC..ppb.,Cd..111..NH3.111.111.Ammonia.DRC..ppb.,Pb.NH3.208.208.Ammonia.DRC..ppb.
3,6/21/2021,1,W,95.5127819,50014.60911,116.0729088,5.72370507,1.66740057,12.90683137,0.150406372,19.63937721,0.033927077,0.525357806,6/21/2021,1,F,69.59671117,48149.2225,23.81657906,4.575401795,2.574909322,12.00705689,0.126997065,17.61530475,0.017703497,0.225761604,6/21/2021,1,UF,52.27573716,31520.2563,1.675795996,3.289832296,1.363533802,10.92966822,0.105693162,17.57099456,0.014483843,0.163006529
5,7/6/2021,1,W,57.53935591,54525.38436,77.52444758,3.083255099,0.76495683,10.6590466,0.219388764,22.69370722,0.026304751,0.144424108,7/6/2021,1,F,30.26142506,62200.23235,16.14269758,2.426304142,1.79487062,10.46553564,0.11373993,24.84375192,0.018494941,0.102894427,7/6/2021,1,UF,56.08866996,69916.86871,1.147265885,7.714183547,3.938742688,10.82049966,0.086415387,25.44492333,0.019654866,0.048172727
4,7/19/2021,1,W,22.60520577,62923.38662,43.55347846,1.012853348,1.754165572,10.29064999,0.169836181,17.10206267,0.015231888,0.063468072,7/19/2021,1,F,13.50641023,66839.09739,11.79169032,1.924427161,1.483261587,9.533020784,0.097180317,17.16639345,0.012061518,0.049162646,7/19/2021,1,UF,15.52164909,58615.53802,0.17418896,0.721895123,1.320689638,8.88733589,0.121439748,15.96962088,0.014509873,-0.010897983
7,8/2/2021,1,W,10.88538788,61562.5643,80.53033742,4.741788841,1.402570728,10.64215308,0.168726737,11.79461038,0.02585974,0.354315623,8/2/2021,1,F,7.599872163,62224.02585,13.20968918,2.53808398,3.869526146,9.979028277,0.11425635,12.0785049,0.015263914,0.092593276,8/2/2021,1,UF,11.01422492,57413.05548,0.651213381,1.837303104,2.933762188,8.848734901,0.097385696,10.50665564,0.013941476,0.031955533
6,8/16/2021,1,W,61.57080361,79294.02054,58.06857309,3.554835774,0.900823076,14.49303954,0.084656494,46.78106802,0.031870336,0.215610238,8/16/2021,1,F,29.68095249,79847.53751,11.39928173,2.219799656,2.094068294,14.88549831,0.156520123,43.09523519,0.01658205,0.056343444,8/16/2021,1,UF,49.95267664,82385.31655,0.345911742,1.502711073,1.625581853,13.56157566,0.139960376,40.10387302,0.017035811,0.027104356
8,8/30/2021,1,W,46.79534527,71277.8351,68.15255903,3.390378138,2.85679526,10.69824265,0.087317587,32.56351457,0.02233452,0.41524083,8/30/2021,1,F,15.31216758,73037.21219,8.024527592,1.91037317,11.53550756,10.22108083,0.090055079,33.98443951,0.011699288,0.208756171,8/30/2021,1,UF,39.85727717,66916.6514,-0.165043936,1.283302225,4.858187635,9.136757927,0.079879583,27.51251282,0.016518773,0.145589752
9,9/13/2021,1,W,26.53826944,68527.78854,73.50309854,3.331880044,0.804946966,8.435815559,0.137674851,32.17111027,0.03320512,0.344728366,9/13/2021,1,F,15.83656734,69630.4837,9.249216884,1.799609954,3.196663289,8.113899177,0.095256817,32.18976717,0.019736969,0.232580629,9/13/2021,1,UF,10.50645242,50376.96351,0.653625967,0.949656782,1.798974869,5.967224216,0.068348953,23.3851957,0.013465304,0.072957538
1,10/1/2021,1,W,15.986,39030.873,37.778,2.327,0.804,3.391,-0.011,17.649,0.013,0.131,10/1/2021,1,F,6.071,37692.424,11.489,0.9,14.784,2.941,0.027,17.074,0.011,0.057,10/1/2021,1,UF,4.986,37921.477,0.38,0.629,12.386,2.845,0.037,17.046,0.011,0.03
2,10/15/2021,1,W,18.676,43932.951,55.627,1.64,0.798,3.359,0.023,20.773,0.02,0.15,10/15/2021,1,F,5.75075,44190.08625,11.98525,0.80825,1.2575,2.7695,0.04625,20.75125,0.00975,1.676,10/15/2021,1,UF,4.549,44033.775,0.895,0.5985,1.7225,2.5625,0.0405,20.2305,0.009,0.0315
12,6/21/2021,6,W,45.09788841,54436.67293,133.664967,14.03358018,4.881509423,12.81938004,0.118448905,13.0939943,0.050544452,1.038128123,6/21/2021,6,F,32.1674882,52941.53361,19.0230195,8.103007787,3.401555901,11.52418701,0.118222005,12.91684143,0.030590594,0.281228127,6/21/2021,6,UF,31.43901176,49979.47914,0.855182464,4.873466893,1.422121396,11.44683498,0.122715272,12.44574943,0.022115906,0.147037123
