"","Group.1","Group.2","V3"
"1","6/21/2021",1,25.91607073
"2","7/6/2021",1,27.27793085
"3","7/19/2021",1,9.09879554
"4","8/2/2021",1,3.285515717
"5","8/16/2021",1,31.88985112
"6","8/30/2021",1,31.48317769
"7","9/13/2021",1,10.7017021
"8","10/1/2021",1,9.915
"9","10/15/2021",1,12.92525
"10","6/21/2021",6,12.93040021
"11","7/6/2021",6,29.191491824
"12","7/19/2021",6,17.608951271
"13","8/2/2021",6,10.57089779
"14","8/16/2021",6,0
"15","8/30/2021",6,18.203420124
"16","9/13/2021",6,9.507310739
"17","10/1/2021",6,6.811
"18","10/15/2021",6,6.948333333
"19","6/21/2021",8,7.07962175
"20","7/6/2021",8,4.31469248000001
"21","7/19/2021",8,17.28220635
"22","8/2/2021",8,11.60464143
"23","8/16/2021",8,0
"24","8/30/2021",8,29.555893228
"25","9/13/2021",8,11.377067929
"26","10/1/2021",8,7.724
"27","10/15/2021",8,NA
"28","6/21/2021",9,6.19706857
"29","7/6/2021",9,5.8951593
"30","7/19/2021",9,14.53617618
"31","8/2/2021",9,11.21361143
"32","8/16/2021",9,0
"33","8/30/2021",9,23.42151713
"34","9/13/2021",9,7.848863724
"35","10/1/2021",9,5.705
"36","10/15/2021",9,6.4415
"37","6/21/2021",10,0.200348420000005
"38","7/6/2021",10,0
"39","7/19/2021",10,14.70286344
"40","8/2/2021",10,15.60632446
"41","8/16/2021",10,0
"42","8/30/2021",10,29.72901407
"43","9/13/2021",10,13.206449725
"44","10/1/2021",10,13.444
"45","10/15/2021",10,10.56225
"46","6/21/2021",11,4.25071557
"47","7/6/2021",11,0
"48","7/19/2021",11,11.021996227
"49","8/2/2021",11,25.02888922
"50","8/16/2021",11,0
"51","8/30/2021",11,35.586280018
"52","9/13/2021",11,16.126891973
"53","10/1/2021",11,12.809
"54","10/15/2021",11,11.755
