,Group.1,Group.2,WW P,WW Ca,WW Fe,WW Cu,WW Zn,WW As,WW Se,WW Mo,WW Cd,WW Pb,FW P,FW Ca,FW Fe,FW Cu,FW Zn,FW As,FW Se,FW Mo,FW Cd,FW Pb,TD P,TD Ca,TD Fe,TD Cu,TD Zn,TD As,TD Se,TD Mo,TD Cd,TD Pb
1,6/22/2021,1,95.5127819,50014.60911,116.0729088,5.72370507,2.574909322,12.90683137,0.150406372,19.63937721,0.033927077,0.525357806,69.59671117,48149.2225,23.81657906,4.575401795,2.574909322,12.00705689,0.126997065,17.61530475,0.017703497,0.225761604,52.27573716,31520.2563,1.675795996,3.289832296,1.363533802,10.92966822,0.105693162,17.57099456,0.014483843,0.163006529
10,6/22/2021,6,45.09788841,54436.67293,133.664967,14.03358018,4.881509423,12.81938004,0.122942172,13.0939943,0.050544452,1.038128123,32.1674882,52941.53361,19.0230195,8.103007787,3.401555901,11.52418701,0.122715272,12.91684143,0.030590594,0.281228127,31.43901176,49979.47914,0.855182464,4.873466893,1.422121396,11.44683498,0.122715272,12.44574943,0.022115906,0.147037123
19,6/22/2021,8,49.94399893,59098.23099,131.1604015,13.90725639,5.572453166,12.84995732,0.142143197,12.07525661,0.060416937,1.26508994,42.86437718,58857.9547,,9.318526537,3.573112979,12.04164992,0.142143197,12.07525661,0.037943215,0.304594294,38.31534624,56078.16017,0.893056537,8.278153016,2.753237896,11.07861273,0.128457399,11.2267707,0.032270945,0.162391533
28,6/22/2021,9,52.77232571,54882.01793,156.638577,20.48184351,8.226902983,9.938812509,0.145710188,6.751938948,0.044574112,1.030440871,46.57525714,54882.01793,23.42879731,20.48184351,8.226902983,8.872760222,0.145710188,6.751938948,0.026404921,0.302618789,45.17464808,47860.89366,0.641500704,4.649268471,1.716684255,7.991082317,0.096693384,6.277172244,0.021627081,0.167812833
37,6/22/2021,10,54.83578638,71500.29627,127.5913771,16.85714625,7.711198561,10.856141,0.190325112,5.724900642,0.077890528,0.839074385,54.63543796,62509.88728,14.4623344,7.796260275,2.869191236,10.856141,0.190325112,5.724900642,0.032657122,0.28014247,49.57596445,59987.40641,0.505353738,4.727889424,1.034473371,9.172424893,0.138278275,5.551614795,0.026171449,0.159131928
46,6/22/2021,11,58.737805,62887.47531,120.6675003,10.68202712,5.914260051,10.56506158,0.170843901,5.524802792,0.045256025,0.898875317,54.48708943,62146.99745,14.26511442,8.508007227,4.076511982,10.49623137,0.170843901,5.524802792,0.034718472,0.288947514,49.37642433,58558.30561,0.534254592,4.674474444,1.177282331,9.129827418,0.124652609,5.04339323,0.02445536,0.164101274
2,7/7/2021,1,83.36660081,69916.86871,77.52444759,8.371134504,3.938742688,11.01401062,0.219388764,25.44492333,0.027464676,0.144424108,56.08866996,69916.86871,16.14269759,7.714183547,3.938742688,10.82049966,0.11373993,25.44492333,0.019654866,0.102894427,56.08866996,69916.86871,1.147265885,7.714183547,3.938742688,10.82049966,0.086415387,25.44492333,0.019654866,0.048172727
11,7/7/2021,6,58.296512,63942.02563,97.56966832,9.616945001,8.031211959,12.80077676,0.249435643,14.29350691,0.048547271,0.682134351,29.10502018,63942.02563,14.81179243,6.517634143,8.031211959,12.78669291,0.156962149,14.29350691,0.035585433,0.509215895,29.10502018,63942.02563,0.829712123,3.185191132,2.6805463,11.40356631,0.150799307,13.10256508,0.033301572,0.228483834
20,7/7/2021,8,44.82531688,64542.17769,81.95952311,8.203083986,4.581795241,13.98956991,0.262250197,10.58698144,0.043122918,0.705110209,40.5106244,64542.17769,17.68076121,7.654107118,4.581795241,13.98956991,0.17660402,10.58698144,0.043122918,0.705110209,21.99290963,64542.17769,,3.929879599,2.688013804,13.4973102,0.146304189,10.08598024,0.036993308,0.136291653
29,7/7/2021,9,46.80774356,60380.45919,98.73681116,7.844952931,3.888996397,10.92391646,0.191992081,6.995522032,0.042804967,1.193324403,40.91258426,60380.45919,14.73750256,6.417527664,3.042349894,10.92391646,0.139455209,6.995522032,0.033004134,1.193324403,23.98911113,57561.88975,0.901156391,2.952356151,1.664227135,10.19000559,0.139455209,6.414796979,0.025913214,0.388403721
38,7/7/2021,10,41.2083206,72368.25596,100.1706202,8.139777923,3.934266901,11.91860001,0.241518162,6.723644102,0.039630996,0.741279001,41.2083206,72368.25596,14.01279694,8.139777923,3.396012108,11.91860001,0.196537562,6.723644102,0.037494976,0.741279001,18.96716008,68361.02235,0.468402153,3.169342167,1.601204624,11.22955237,0.171800112,4.983118962,0.029951625,0.260427849
47,7/7/2021,11,33.780688,67915.1408,28.02573382,6.447495808,2.148540359,11.69948027,0.274292225,5.603837889,0.036247802,0.42342247,33.780688,67915.1408,7.970441159,6.447495808,2.148540359,11.5185771,0.177286158,5.603837889,0.02710925,0.42342247,13.22222505,67033.42468,1.961686738,3.728882014,1.33580347,10.91464228,0.172538508,5.342600402,0.02710925,0.28040337
3,7/20/2021,1,24.62044463,66839.09739,43.55347846,1.924427161,1.754165572,10.29064999,0.194095612,17.16639345,0.017680243,0.063468072,15.52164909,66839.09739,11.79169032,1.924427161,1.483261587,9.533020784,0.121439748,17.16639345,0.014509873,0.049162646,15.52164909,58615.53802,0.17418896,0.721895123,1.320689638,8.88733589,0.121439748,15.96962088,0.014509873,
12,7/20/2021,6,25.66813304,67163.2024,119.2869665,12.02201615,5.898303439,12.62339894,0.35847275,8.227165703,0.039496656,0.888477092,8.059181772,62674.74116,11.2077643,6.302946028,5.898303439,12.0861038,0.21122609,8.154172832,0.02684227,0.153346449,8.059181772,62674.74116,1.073960757,2.858475392,3.147981556,11.02654238,0.200869479,7.479190498,0.024768735,0.035029843
21,7/20/2021,8,32.16694725,64011.09254,79.38316671,8.139114273,3.872021589,12.76774847,0.276064777,8.098811915,0.03852041,0.297722884,14.8847409,63735.54242,14.79318473,6.822151703,3.614477237,11.93670384,0.183302009,8.098811915,0.03852041,0.227635514,14.8847409,58167.69772,2.290534831,2.773362369,2.219125835,11.16491357,0.183302009,7.50269646,0.026214843,0.052725595
30,7/20/2021,9,30.02190456,51825.81253,88.63942512,6.204399201,4.312127844,9.222424267,0.19141301,4.929314134,0.042042485,0.295942531,15.48572838,51825.81253,9.941487267,4.850896727,4.312127844,8.821061321,0.19141301,4.909255145,0.02002025,0.118228474,15.48572838,46547.8567,0.480671828,1.949416209,1.335599783,7.768786615,0.136027027,4.466701973,0.01616098,0.02771687
39,7/20/2021,10,25.35810556,63268.9753,100.1013495,6.775508528,4.647047085,9.782501405,0.257409494,4.368100075,0.029317246,0.414494314,10.65524212,63094.0459,7.242987774,4.970829408,3.554899877,9.782501405,0.198132559,4.368100075,0.020142456,0.282243419,10.65524212,61975.28148,1.182137522,2.098447906,2.113026904,9.454963187,0.197482593,4.045008719,0.01395713,0.078228959
48,7/20/2021,11,15.89475766,64551.12726,25.03788023,4.924465245,2.775087059,9.910478012,0.256455167,3.972838866,0.018681798,0.182256618,4.872761433,64002.80776,4.997609304,4.924465245,2.775087059,9.589522061,0.18543888,3.972838866,0.011889277,0.15940926,,101.2063619,,,,0.037498153,0.012578444,0.0020797,,
4,8/3/2021,1,14.29974064,62224.02585,80.53033742,4.741788841,3.869526146,10.64215308,0.168726737,12.0785049,0.02585974,0.354315623,11.01422492,62224.02585,13.20968918,2.53808398,3.869526146,9.979028277,0.11425635,12.0785049,0.015263914,0.092593276,11.01422492,57413.05548,0.651213381,1.837303104,2.933762188,8.848734901,0.097385696,10.50665564,0.013941476,0.031955533
13,8/3/2021,6,16.95550163,76458.18136,157.6809961,15.26767875,10.19223691,14.3005161,0.287672602,7.43468161,0.075747537,1.324702213,6.384603835,75944.1939,20.77378254,8.255989918,7.066552601,12.39680685,0.239146608,7.43468161,0.039818325,0.192807557,6.384603835,70691.31803,0.998792364,4.415477038,4.623640181,12.39680685,0.239146608,6.978384416,0.036858811,0.068899517
22,8/3/2021,8,30.10794695,72763.40926,111.1322334,13.37836155,5.838359796,15.49780331,0.371443757,6.484097779,0.052301102,0.761784069,18.50330552,72763.40926,12.40771176,8.541879544,4.475351082,14.1028654,0.254583381,6.484097779,0.026500712,0.206339493,18.50330552,65801.51352,2.277332615,4.296547236,1.892685117,13.81803672,0.254583381,5.763170496,0.026500712,0.085148959
31,8/3/2021,9,26.00586561,63002.44248,80.44380587,8.850362132,3.032083549,10.70069318,0.173353518,4.531091355,0.041505311,0.450977632,14.79225418,63002.44248,10.77062207,6.441907806,3.032083549,10.68032847,0.173353518,4.531091355,0.024650501,0.450977632,14.79225418,56660.12246,0.277363803,2.99634338,1.55468088,9.721559083,0.17067018,3.985068849,0.020549307,0.095355525
40,8/3/2021,10,36.61685059,84077.88801,205.9308182,10.69956138,10.80841013,12.48456664,0.298836958,4.413733828,0.069016283,1.36011675,21.01052613,84077.88801,8.803591255,5.034224761,4.889954687,12.07509511,0.225844386,4.413733828,0.019689988,0.292200698,21.01052613,80828.99095,0.415757602,2.680097726,1.939694899,11.36566092,0.225844386,4.114875393,0.016145485,0.130812572
49,8/3/2021,11,43.27184407,84340.76912,328.2485103,14.1517102,20.96481548,12.87696452,0.279947009,4.12802087,0.116723284,2.00696282,18.24295485,84340.76912,14.50522075,5.649649591,3.046052347,11.92304495,0.212385758,4.12802087,0.014013491,0.908141528,18.24295485,84340.76912,,2.477739482,1.567952612,11.57182398,0.189863504,3.915479393,0.012666712,0.223005734
5,8/17/2021,1,81.84252776,82385.31655,58.06857309,3.554835774,2.094068294,14.88549831,0.156520123,46.78106802,0.032324097,0.215610238,49.95267664,82385.31655,11.39928173,2.219799656,2.094068294,14.88549831,0.156520123,43.09523519,0.017035811,0.056343444,49.95267664,82385.31655,0.345911742,1.502711073,1.625581853,13.56157566,0.139960376,40.10387302,0.017035811,0.027104356
14,8/17/2021,6,26.51571377,81819.56108,113.0123136,12.10165099,10.93380775,13.81730553,0.217214907,22.28331083,0.049999307,1.508762478,26.51571377,77669.14157,16.04782931,7.056787763,10.93380775,13.22476649,0.217214907,22.28331083,0.033093226,1.508762478,26.51571377,75134.91984,,3.39182245,4.331936254,12.18524145,0.217214907,19.98145253,0.030997567,0.226445993
23,8/17/2021,8,36.34778047,79118.9539,113.2637791,11.20779395,5.847300511,13.57569011,0.242272952,17.29665337,0.051950574,0.837690943,36.34778047,79118.9539,14.19281659,7.87159861,4.563072326,13.21725147,0.212948178,17.29665337,0.033131707,0.314893102,36.34778047,71782.54482,0.49338685,3.765338548,2.580406936,12.08750693,0.167550941,15.92229097,0.024794747,0.101165397
32,8/17/2021,9,37.54254875,68024.7044,138.3586796,10.8266978,4.784379229,10.85797458,0.21611192,13.61586049,0.055378608,0.723358819,37.54254875,67807.33534,12.91718481,6.059421132,2.788999233,10.4415893,0.195882517,11.75492447,0.017124317,0.219380917,36.22341502,63519.75024,,2.782137937,1.205649936,9.576340401,0.138896973,10.41337887,0.013785912,0.056156678
41,8/17/2021,10,40.16955685,82368.45296,119.7540042,7.277727933,3.997330104,11.13913047,0.332418583,5.505963062,0.039595783,0.768383842,40.16955685,82368.45296,8.04362879,4.684988483,3.086427645,11.13913047,0.255103737,5.505963062,0.024020959,0.217313412,40.16955685,79151.42972,0.989594709,2.523033816,1.992987403,10.09626239,0.182449708,5.108686349,0.016622257,0.111473762
50,8/17/2021,11,36.03873297,77730.3847,53.35424136,5.982762108,3.216448613,10.8712223,0.29214293,4.701453871,0.020115263,0.477174507,36.03873297,77730.3847,8.2904223,4.593417268,3.216448613,10.85356521,0.235022268,4.701453871,0.009402714,0.247218643,36.03873297,70772.656,,2.031909183,1.760061281,9.738721763,0.171138475,4.126818531,0.006267292,0.118362847
6,9/9/2021,1,71.34045486,73037.21219,68.15255903,3.390378138,11.53550756,10.69824265,0.090055079,33.98443951,0.027154005,0.41524083,39.85727717,73037.21219,8.024527592,1.91037317,11.53550756,10.22108083,0.090055079,33.98443951,0.016518773,0.208756171,39.85727717,66916.6514,,1.283302225,4.858187635,9.136757927,0.079879583,27.51251282,0.016518773,0.145589752
15,9/9/2021,6,49.15628356,76998.61376,91.20089132,9.572199707,6.954831532,11.05384543,0.2126417,19.34375447,0.043235153,0.889636053,30.95286344,76998.61376,12.91999559,6.031224611,6.954831532,10.69637897,0.2126417,19.34375447,0.042200064,0.272593852,30.95286344,68818.80776,0.447604109,3.32076437,2.787158553,10.01202011,0.2126417,15.78298033,0.030035377,0.176086489
24,9/9/2021,8,63.67663448,74004.75094,76.79010255,9.604254888,3.71192939,12.51694012,0.181840565,17.1718418,0.039907128,0.680850294,34.12074125,74004.75094,13.8152721,6.73836327,3.407672579,12.51694012,0.181840565,17.1718418,0.035445467,0.226092182,34.12074125,65901.15293,,3.691571936,1.720718505,10.15058704,0.158904198,14.00496591,0.030558249,0.120869948
33,9/9/2021,9,54.76861324,70502.74413,156.5055151,10.27305521,10.86204892,9.88032885,0.274478884,11.60656063,0.034248047,0.948379131,31.34709611,60839.91933,8.144214453,5.377116528,6.41316362,8.703521242,0.168972542,10.43691688,0.024422943,0.184028184,31.34709611,59504.3127,,3.341088091,6.41316362,8.296948729,0.14691983,9.686871732,0.021602568,0.128019242
42,9/9/2021,10,65.96243203,83398.25403,118.9763222,7.697549692,5.717798595,10.12221833,0.26054065,7.330910832,0.046223467,0.840131082,36.23341796,71515.89225,7.819625194,4.269336327,4.530541777,9.322003114,0.209992463,6.684394538,0.022691119,0.212990325,36.23341796,70228.72118,1.677747159,2.832305957,2.714676877,8.926495254,0.209992463,6.518264984,0.022691119,0.163615089
51,9/9/2021,11,70.2742559,73066.23671,138.6826135,8.307804617,6.501947767,10.24276774,0.249750461,7.003040985,0.047684722,2.807811546,34.68797588,68755.30423,6.677332854,4.274689787,2.859587681,9.437239705,0.233234664,6.458959091,0.020162924,0.194498521,34.68797588,66317.68038,,2.871992928,1.679067974,9.189722245,0.206415038,6.184197925,0.020162924,0.126473404
8,10/13/2021,1,15.986,39259.926,37.778,2.327,14.784,3.391,0.037,17.649,0.013,0.131,6.071,37921.477,11.489,0.9,14.784,2.941,0.037,17.074,0.011,0.057,4.986,37921.477,0.38,0.629,12.386,2.845,0.037,17.046,0.011,0.03
17,10/13/2021,6,9.93,40248.931,46.977,4.198,5.244,3.926,0.09,8.138,0.029,0.395,3.119,40248.931,7.302,2.191,5.244,3.56,0.08,8.138,0.015,0.097,3.119,40248.931,0.281,1.549,4.414,3.538,0.08,8.138,0.012,0.055
26,10/13/2021,8,12.297,38184.19,25.616,4.124,5.689,4.283,0.084,7.252,0.017,0.205,4.573,38184.19,8.518,2.432,5.689,4.099,0.084,7.188,0.011,0.205,4.573,37895.78,0.886,1.368,4.395,3.983,0.074,6.998,0.011,0.052
35,10/13/2021,9,11.191,34058.235,26.703,2.802,6.959,3.305,0.074,4.989,0.022,0.544,5.486,34058.235,5.888,2.218,6.959,3.17,0.074,4.989,0.011,0.544,5.486,34058.235,0.568,1.394,6.011,3.158,0.074,4.989,0.01,0.048
44,10/13/2021,10,18.004,35826.371,74.787,3.164,7.675,3.789,0.092,3.054,0.02,0.064,4.56,35826.371,5.449,1.687,7.675,3.695,0.092,3.054,0.008,0.064,4.56,35826.371,1.684,1.076,5.054,3.664,0.074,3.038,0.007,0.064
53,10/13/2021,11,16.654,35413.076,87.71,4.054,7.273,3.949,0.086,2.918,0.024,1.043,3.845,35413.076,6.868,1.676,7.273,3.847,0.086,2.918,0.009,0.105,3.845,35413.076,1.613,1.001,5.21,3.739,0.086,2.819,0.007,0.055
,9/22/2021,10,19.9314669,67910.19614,103.5043575,6.305551917,3.910367449,9.327074202,0.262042321,5.175559142,0.03902217,0.660351237,6.725017165,67910.19614,7.636057572,3.816777299,3.636720344,8.645061193,0.167902489,5.175559142,0.019602128,0.239998827,3.64,33636.098,,1.221,0.858,4.209,0.072,2.46,0.01,0.057
