,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
29,6/22/2021,BG,144.32,5,EPIL,3.633819101,14.04421977,9.821132705,7.542966782,0.034513274,88.84955752,0.00449469,0.370265487,13.90265487,0.000767331,1.781415929,0.077584071,0.005763311,1.839823009,0.125414996,322.8632192,0.016332891,1.345477798,50.51973281,0.002788344,6.47334323,0.281926478,0.02094283,6.685583992,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
234,6/22/2021,BG,144.32,5,EPIP,0.289957251,1.973580001,0.544184286,0.502865004,0.055670103,35.75257732,0.00262268,0.445876289,19.37113402,0.000893902,1.541237113,0.069680412,0.00671396,41.32989691,0.01614195,10.36671904,0.000760465,0.129285063,5.616800769,0.000259193,0.446892877,0.020204341,0.001946761,11.98390329,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
326,6/22/2021,BG,144.32,5,FILA,42.99929332,50.79899948,,48.03234666,0.011536787,9.599477579,0.000808663,0.098236831,7.912494558,0.000704179,1.229647366,0.020380932,0.001417619,0.226817588,0.496073693,412.7707522,0.034771958,4.224114296,340.2316744,0.030279215,52.87396778,0.876365658,0.060956614,9.752996003,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
9,6/22/2021,BG,144.32,4,EPIL_F,0.800889988,69.196895,7.528365891,22.65372594,0.052772809,41.34168157,0.004560823,0.579338104,21.10912343,0.000775568,1.619856887,0.103667263,0.005825171,2.255813953,0.042265214,33.11013886,0.003652717,0.463986087,16.90608561,0.000621144,1.297327163,0.083026073,0.004665321,1.80665881,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
231,6/22/2021,BG,144.32,4,EPIP,1.199581209,8.397068463,2.096110323,1.445260491,0.05856728,27.3910939,0.003513069,0.560019361,21.08422072,0.000419692,1.29090029,0.089157793,0.003152247,21.58760891,0.070256208,32.85784154,0.004214211,0.671788702,25.29223498,0.000503455,1.548539731,0.106952013,0.003781376,25.89608999,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
323,6/22/2021,BG,144.32,4,FILA,108.8582718,212.3715336,,354.0446557,0.018804567,11.29281397,0.001336803,0.182572196,8.280725319,0.001519476,1.649429147,0.030802552,0.002186884,0.324714574,2.047032646,1229.316212,0.145522089,19.87449375,901.4254475,0.165407549,179.5540064,3.353112583,0.238060448,35.3478673,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
8,6/22/2021,BG,144.32,3,EPIL_F,19.17459242,97.74365406,28.89283707,32.1622669,0.037411527,55.46006067,0.003350859,0.366481294,16.37007078,0.000438364,1.577350859,0.067997978,0.003292488,1.343781598,0.717350778,1063.424059,0.064251364,7.027129447,313.8894351,0.008405457,30.24505983,1.303833509,0.063132118,25.76646443,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
321,6/22/2021,BG,144.32,3,FILA,66.06515805,327.6110743,,272.2640843,0.005083089,2.49657869,0.000362121,0.050097752,2.498044966,0.00014306,0.298044966,0.009164223,0.000318306,0.091446725,0.335815075,164.9368657,0.023923595,3.309715885,165.0337355,0.009451257,19.69038777,0.605435833,0.021028939,6.041442361,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
322,6/22/2021,BG,144.32,3,FILA,66.06515805,327.6110743,,272.2640843,0.012561061,5.826936497,0.000874234,0.13644646,6.265022874,0.000135535,0.52337753,0.019520043,0.000126241,0.237846011,0.829848461,384.9574806,0.057756428,9.014356973,413.8997263,0.008954167,34.57701922,1.289594754,0.008340158,15.71333429,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
7,6/22/2021,BG,144.32,2,EPIL_F,20.66530007,170.355731,16.80641334,40.98460408,0.047013042,35.00210349,0.003708456,0.514829617,18.67900715,9.12E-05,1.136937316,0.08083719,0.000684954,0.870214556,0.971538613,723.3289717,0.076636357,10.63910852,386.0072878,0.001884578,23.49515079,1.670524783,0.014154777,17.98324493,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
320,6/22/2021,BG,144.32,2,FILA,90.82932705,592.132005,,217.2102673,0.005728116,2.650665591,0.00041549,0.063816055,2.75070593,0.000142194,0.313029447,0.010839048,0.000262708,0.10629286,0.520280938,240.7581719,0.037738688,5.796369318,249.8447685,0.012915425,28.43225405,0.984503436,0.023861628,9.654508946,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
5,6/22/2021,BG,144.32,1,EPIL,4.559811613,17.01160486,13.32429567,13.69942917,0.034387352,89.48616601,0.003899209,0.35201581,13.66403162,0.000342721,1.490909091,0.058537549,0.002574127,1.128853755,0.156799846,408.040059,0.017779661,1.60512578,62.30541006,0.001562744,6.798264587,0.266920198,0.011737535,5.147360461,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
6,6/22/2021,BG,144.32,1,EPIL,4.559811613,17.01160486,13.32429567,13.69942917,0.040682415,102.2747157,0.003744969,0.383595801,14.0376203,0.000379302,1.505686789,0.056649169,0.002848881,18.68766404,0.185504147,466.3534362,0.017076355,1.749124586,64.00890405,0.001729546,6.865648107,0.258309538,0.01299036,85.21222752,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
319,6/22/2021,BG,144.32,1,FILA,3.497570371,8.588970278,,8.897470701,0.004380841,2.200642523,0.000291667,0.042236176,2.194801402,0.0005184,0.249318536,0.007189447,0.000317005,0.075545171,0.0153223,7.696902087,0.001020125,0.147723998,7.676472353,0.001813139,0.872009124,0.025145597,0.001108746,0.264224553,0,8990.40899,0.045233406,9.060885975,113.1290427,0,0.20034842,0.558931915,0,4.842007325,1.683716107,2522.48087,0.006485673,3.068370851,13.95698066,0.173285847,5.05947351,0.121010542,0.052046837,1.834717865,9.172424893,59987.40641,0.026171449,4.727889424,0.505353738,5.551614795,49.57596445,0.159131928,0.138278275,1.034473371
11,6/22/2021,BN,167.82,5,EPIL,8.535031994,59.31847236,26.60369472,25.23200583,0.021303258,40.50543024,0.002229323,0.238053467,10.72263993,0.000362191,2.719715957,0.044152047,0.00272036,0.858813701,0.18182399,345.715143,0.019027346,2.031793957,91.51807489,0.003091309,23.2128627,0.376839132,0.023218358,7.330002414,0.06883021,740.47786,0.010537553,2.174019893,106.4023859,0,4.25071557,0.609927803,0,1.837748069,1.366403952,3588.69184,0.010263112,3.833532783,13.73085983,0.481409562,5.1106651,0.12484624,0.046191292,2.899229651,9.129827418,58558.30561,0.02445536,4.674474444,0.534254592,5.04339323,49.37642433,0.164101274,0.124652609,1.177282331
233,6/22/2021,BN,167.82,5,EPIP,3.633819101,32.05547564,5.714613134,2.739832549,0.047062024,22.88628945,0.003041349,0.465179543,19.64091404,0.000235877,1.253536453,0.077693145,0.001771638,9.741566921,0.171014882,83.16463574,0.011051713,1.690378309,71.37152859,0.000857135,4.555124705,0.282322833,0.006437812,35.39909195,0.06883021,740.47786,0.010537553,2.174019893,106.4023859,0,4.25071557,0.609927803,0,1.837748069,1.366403952,3588.69184,0.010263112,3.833532783,13.73085983,0.481409562,5.1106651,0.12484624,0.046191292,2.899229651,9.129827418,58558.30561,0.02445536,4.674474444,0.534254592,5.04339323,49.37642433,0.164101274,0.124652609,1.177282331
325,6/22/2021,BN,167.82,5,FILA,61.66418643,128.583681,,129.6831108,0.013295554,10.47951177,0.001147559,0.128225806,6.591107236,0.001438971,1.486704446,0.023234525,0.001419473,0.278334786,0.819859497,646.2105675,0.070763283,7.906940034,406.4352654,0.08873299,91.67642015,1.432738072,0.087530639,17.16328816,0.06883021,740.47786,0.010537553,2.174019893,106.4023859,0,4.25071557,0.609927803,0,1.837748069,1.366403952,3588.69184,0.010263112,3.833532783,13.73085983,0.481409562,5.1106651,0.12484624,0.046191292,2.899229651,9.129827418,58558.30561,0.02445536,4.674474444,0.534254592,5.04339323,49.37642433,0.164101274,0.124652609,1.177282331
